Data,Organisation unit,Value
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),Ulipur Upazila,1.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Roumari Upazila,116.0
MBFFI|Number of LBW given KMC,Fulbari KG Upazila,26.0
MBFFI|# pregnant women who are poor and received financial support/free services,Fulbari KG Upazila,373.0
MBFFI|# delivered newborns for which weight was measured,Ulipur Upazila,1069.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Fulbari KG Upazila,98.0
MBFFI|Number of  pre term  babies born in facility,Roumari Upazila,52.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Ulipur Upazila,14182.0
MBFFI|Facility LBWs amongst delivered,Ulipur Upazila,62.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Roumari Upazila,1762.0
MBFFI|# pregnant women with  puerperal sepsis with triple  antibiotics,Roumari Upazila,15.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Roumari Upazila,1040.0
MBFFI|Total newborn sepsis cases in facility,Fulbari KG Upazila,3.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Fulbari KG Upazila,778.0
MBFFI|No. of ongoing PDCA,Ulipur Upazila,24.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Fulbari KG Upazila,1407.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Nageshwari Upazila,52.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Nageshwari Upazila,463.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Fulbari KG Upazila,2.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Nageshwari Upazila,17.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Ulipur Upazila,1124.0
MBFFI|Number of   delivered newborns in facility given  ENC,Nageshwari Upazila,442.0
MBFFI|# postpartum mothers received 3rd PNC,Nageshwari Upazila,70.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Ulipur Upazila,2.0
MBFFI|Number of   delivered newborns in facility given  ENC,Fulbari KG Upazila,542.0
MBFFI|# of early (0-7 days)newborns deaths of preterm babies delivered in facility,Ulipur Upazila,1.0
MBFFI|# sick newborns(inborn) referred,Ulipur Upazila,6.0
MBFFI|# postpartum mothers received 1st PNC,Nageshwari Upazila,524.0
MBFFI|# pregnant women received TT during ANC,Nageshwari Upazila,3902.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Nageshwari Upazila,26.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Ulipur Upazila,49.0
MBFFI|Number of LBW given KMC,Nageshwari Upazila,7.0
MBFFI|No. of  Quality Improvement committee meeting,Ulipur Upazila,23.0
MBFFI|No. of  MNH work Improvement committee meeting,Roumari Upazila,1.0
MBFFI|# newborns received 3rd PNC,Ulipur Upazila,731.0
MBFFI|Number of newborns dried immediately after birth,Ulipur Upazila,1123.0
MBFFI|# premature newborns(inborn )  referred out,Ulipur Upazila,8.0
MBFFI|Number of  pre term  babies born in facility,Fulbari KG Upazila,6.0
MBFFI|No. of  MNH work Improvement committee meeting,Nageshwari Upazila,18.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Roumari Upazila,1178.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),Roumari Upazila,1.0
MBFFI|# pregnant women received TT during ANC,Fulbari KG Upazila,1879.0
MBFFI|Number of   delivered newborns in facility given  ENC,Roumari Upazila,1594.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Fulbari KG Upazila,9.0
MBFFI|Number of facility perinatal deaths audited,Fulbari KG Upazila,2.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Nageshwari Upazila,184.0
MBFFI|# of WIT meetings took place(total) in a facility,Nageshwari Upazila,349.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Nageshwari Upazila,706.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Nageshwari Upazila,43.0
MBFFI|Number of pregnant women with APH managed as per guideline,Roumari Upazila,9.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Nageshwari Upazila,21.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Nageshwari Upazila,2.0
MBFFI|No. of  MNH work Improvement committee meeting,Fulbari KG Upazila,2.0
MBFFI|Number of  pre term  babies born in facility,Nageshwari Upazila,3.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Ulipur Upazila,1023.0
MBFFI|Total newborn sepsis cases in facility,Roumari Upazila,70.0
MBFFI|No. of neonatal sepsis cases managed with antibiotics,Fulbari KG Upazila,5.0
MBFFI|# of late(8-28 days) newborns deaths out of preterm babies (inborn),Roumari Upazila,5.0
MBFFI|Number of facility perinatal deaths audited,Ulipur Upazila,2.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Roumari Upazila,1706.0
MBFFI|# pregnant women who are poor and received financial support/free services,Roumari Upazila,69.0
MBFFI|Number of LBW given KMC,Roumari Upazila,21.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Ulipur Upazila,1023.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Fulbari KG Upazila,15.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Ulipur Upazila,8.0
MBFFI|Number of facility perinatal deaths audited,Roumari Upazila,34.0
MBFFI|# pregnant women who are poor and received financial support/free services,Ulipur Upazila,3.0
MBFFI|Number of LBW given KMC,Ulipur Upazila,22.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Fulbari KG Upazila,11.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Ulipur Upazila,4447.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Roumari Upazila,1.0
MBFFI|# of deaths preterm newborns(inborn),Ulipur Upazila,2.0
MBFFI|Total newborn sepsis cases in facility (inborn ),Roumari Upazila,43.0
MBFFI|# women in labour whose partograph was done,Ulipur Upazila,370.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Nageshwari Upazila,5416.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Roumari Upazila,1575.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Fulbari KG Upazila,72.0
MBFFI|# postpartum mothers received 2nd PNC,Ulipur Upazila,2810.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Roumari Upazila,148.0
MBFFI|Facility Deliveries done following  EMEN standards,Fulbari KG Upazila,518.0
MBFFI|# postpartum mothers received 4th  PNC,Nageshwari Upazila,118.0
MBFFI|Number of   delivered newborns in facility given  ENC,Ulipur Upazila,1119.0
MBFFI|# of WIT meetings took place(total) in a facility,Ulipur Upazila,644.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Roumari Upazila,724.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Ulipur Upazila,1059.0
MBFFI|# newborns received 3rd PNC,Nageshwari Upazila,64.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Ulipur Upazila,2.0
MBFFI|# postpartum mothers received 3rd PNC,Fulbari KG Upazila,134.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Roumari Upazila,33.0
MBFFI|# postpartum mothers received 1st PNC,Fulbari KG Upazila,579.0
MBFFI|# of WIT meetings took place(total) in a facility,Roumari Upazila,541.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Fulbari KG Upazila,4.0
MBFFI|Number of facility neonatal deaths audited,Roumari Upazila,49.0
MBFFI|# women in labour whose partograph was done,Roumari Upazila,534.0
MBFFI|Number of facility neonatal deaths audited,Ulipur Upazila,6.0
MBFFI|# postpartum mothers received 2nd PNC,Roumari Upazila,928.0
MBFFI|No. of  MNH work Improvement committee meeting,Ulipur Upazila,5.0
MBFFI|# of early (0-7 days)newborns deaths of preterm babies delivered in facility,Roumari Upazila,17.0
MBFFI|# postpartum mothers received 4th  PNC,Ulipur Upazila,502.0
MBFFI|# postpartum newborns received 1st PNC,Fulbari KG Upazila,570.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Fulbari KG Upazila,550.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Nageshwari Upazila,30.0
MBFFI|# of deaths preterm newborns(inborn),Roumari Upazila,4.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Roumari Upazila,96.0
MBFFI|Number of neonatal deaths (inborns),Fulbari KG Upazila,2.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Roumari Upazila,1879.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Fulbari KG Upazila,748.0
MBFFI|Number of  full term  babies born in facility,Roumari Upazila,1724.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Ulipur Upazila,5.0
