Data,Organisation unit,Value
MBFFI|# of WIT meetings took place(total) in a facility,Fulbari KG Upazila,171.0
MBFFI|Number of neonatal deaths (inborns),Roumari Upazila,18.0
MBFFI|Number of  pre term  babies born in facility,Ulipur Upazila,25.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Fulbari KG Upazila,126.0
MBFFI|# pregnant women received TT during ANC,Ulipur Upazila,3234.0
MBFFI|Number of neonatal deaths (inborns),Ulipur Upazila,2.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),Fulbari KG Upazila,2.0
MBFFI|Number of  full term  babies born in facility,Nageshwari Upazila,259.0
MBFFI|# postpartum mothers received 1st PNC,Ulipur Upazila,571.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Ulipur Upazila,26.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Nageshwari Upazila,129.0
MBFFI|Number of newborns dried immediately after birth,Nageshwari Upazila,281.0
MBFFI|# newborns received 4th PNC,Ulipur Upazila,532.0
MBFFI|# of deaths preterm newborns(inborn),Fulbari KG Upazila,1.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Roumari Upazila,102.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Ulipur Upazila,572.0
MBFFI|Facility LBWs amongst delivered,Roumari Upazila,73.0
MBFFI|No. of  Quality Improvement committee meeting,Nageshwari Upazila,9.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Ulipur Upazila,518.0
MBFFI|# postpartum mothers received 3rd PNC,Roumari Upazila,351.0
MBFFI|Number of facility neonatal deaths audited,Fulbari KG Upazila,1.0
MBFFI|No. of neonatal sepsis cases managed with antibiotics,Roumari Upazila,40.0
MBFFI|# postpartum newborns  received 2nd PNC,Ulipur Upazila,775.0
MBFFI|# postpartum newborns received 1st PNC,Roumari Upazila,1261.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Roumari Upazila,9.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Ulipur Upazila,53.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Ulipur Upazila,61.0
MBFFI|ANC service provided as per EMEN standards,Ulipur Upazila,5932.0
MBFFI|Number of  full term  babies born in facility,Fulbari KG Upazila,286.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Fulbari KG Upazila,284.0
MBFFI|Facility Deliveries done following  EMEN standards,Ulipur Upazila,564.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Roumari Upazila,30.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Ulipur Upazila,11.0
MBFFI|Total newborn sepsis cases in facility (inborn ),Fulbari KG Upazila,2.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Fulbari KG Upazila,310.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Roumari Upazila,967.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Roumari Upazila,16.0
MBFFI|ANC service provided as per EMEN standards,Roumari Upazila,2648.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Ulipur Upazila,68.0
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),Roumari Upazila,3.0
MBFFI|# women in labour whose partograph was done,Fulbari KG Upazila,103.0
MBFFI|Facility Deliveries done following  EMEN standards,Roumari Upazila,954.0
MBFFI|# postpartum mothers received 2nd PNC,Fulbari KG Upazila,291.0
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),Ulipur Upazila,1.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Roumari Upazila,58.0
MBFFI|Number of LBW given KMC,Fulbari KG Upazila,16.0
MBFFI|# pregnant women who are poor and received financial support/free services,Fulbari KG Upazila,171.0
MBFFI|# delivered newborns for which weight was measured,Ulipur Upazila,572.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Fulbari KG Upazila,54.0
MBFFI|Number of  pre term  babies born in facility,Roumari Upazila,28.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Ulipur Upazila,8583.0
MBFFI|Facility LBWs amongst delivered,Ulipur Upazila,25.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Roumari Upazila,960.0
MBFFI|# pregnant women with  puerperal sepsis with triple  antibiotics,Roumari Upazila,8.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Roumari Upazila,634.0
MBFFI|Total newborn sepsis cases in facility,Fulbari KG Upazila,2.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Fulbari KG Upazila,427.0
MBFFI|No. of ongoing PDCA,Ulipur Upazila,12.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Fulbari KG Upazila,620.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Nageshwari Upazila,12.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Nageshwari Upazila,281.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Nageshwari Upazila,6.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Ulipur Upazila,564.0
MBFFI|Number of   delivered newborns in facility given  ENC,Nageshwari Upazila,280.0
MBFFI|# postpartum mothers received 3rd PNC,Nageshwari Upazila,51.0
MBFFI|Number of   delivered newborns in facility given  ENC,Fulbari KG Upazila,303.0
MBFFI|# sick newborns(inborn) referred,Ulipur Upazila,1.0
MBFFI|# postpartum mothers received 1st PNC,Nageshwari Upazila,306.0
MBFFI|# pregnant women received TT during ANC,Nageshwari Upazila,2264.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Nageshwari Upazila,26.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Ulipur Upazila,25.0
MBFFI|Number of LBW given KMC,Nageshwari Upazila,5.0
MBFFI|No. of  Quality Improvement committee meeting,Ulipur Upazila,11.0
MBFFI|No. of  MNH work Improvement committee meeting,Roumari Upazila,1.0
MBFFI|# newborns received 3rd PNC,Ulipur Upazila,731.0
MBFFI|Number of newborns dried immediately after birth,Ulipur Upazila,570.0
MBFFI|# premature newborns(inborn )  referred out,Ulipur Upazila,4.0
MBFFI|Number of  pre term  babies born in facility,Fulbari KG Upazila,2.0
MBFFI|No. of  MNH work Improvement committee meeting,Nageshwari Upazila,6.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Roumari Upazila,121.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),Roumari Upazila,1.0
MBFFI|# pregnant women received TT during ANC,Fulbari KG Upazila,1456.0
MBFFI|Number of   delivered newborns in facility given  ENC,Roumari Upazila,947.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Fulbari KG Upazila,2.0
MBFFI|Number of facility perinatal deaths audited,Fulbari KG Upazila,1.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Nageshwari Upazila,98.0
MBFFI|# of WIT meetings took place(total) in a facility,Nageshwari Upazila,152.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Nageshwari Upazila,409.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Nageshwari Upazila,28.0
MBFFI|Number of pregnant women with APH managed as per guideline,Roumari Upazila,8.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Nageshwari Upazila,9.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Nageshwari Upazila,1.0
MBFFI|No. of  MNH work Improvement committee meeting,Fulbari KG Upazila,2.0
MBFFI|Number of  pre term  babies born in facility,Nageshwari Upazila,1.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Ulipur Upazila,470.0
MBFFI|Total newborn sepsis cases in facility,Roumari Upazila,39.0
MBFFI|Number of facility perinatal deaths audited,Ulipur Upazila,2.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Roumari Upazila,932.0
MBFFI|# pregnant women who are poor and received financial support/free services,Roumari Upazila,38.0
MBFFI|Number of LBW given KMC,Roumari Upazila,7.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Ulipur Upazila,523.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Fulbari KG Upazila,10.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Ulipur Upazila,8.0
MBFFI|Number of facility perinatal deaths audited,Roumari Upazila,11.0
MBFFI|Number of LBW given KMC,Ulipur Upazila,4.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Ulipur Upazila,4374.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Roumari Upazila,1.0
MBFFI|# of deaths preterm newborns(inborn),Ulipur Upazila,2.0
MBFFI|Total newborn sepsis cases in facility (inborn ),Roumari Upazila,27.0
MBFFI|# women in labour whose partograph was done,Ulipur Upazila,179.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Nageshwari Upazila,1979.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Roumari Upazila,790.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Fulbari KG Upazila,31.0
MBFFI|# postpartum mothers received 2nd PNC,Ulipur Upazila,872.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Roumari Upazila,98.0
MBFFI|Facility Deliveries done following  EMEN standards,Fulbari KG Upazila,270.0
MBFFI|# postpartum mothers received 4th  PNC,Nageshwari Upazila,89.0
MBFFI|Number of   delivered newborns in facility given  ENC,Ulipur Upazila,566.0
MBFFI|# of WIT meetings took place(total) in a facility,Ulipur Upazila,308.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Roumari Upazila,373.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Ulipur Upazila,483.0
MBFFI|# newborns received 3rd PNC,Nageshwari Upazila,49.0
MBFFI|# postpartum mothers received 3rd PNC,Fulbari KG Upazila,120.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Roumari Upazila,24.0
MBFFI|# postpartum mothers received 1st PNC,Fulbari KG Upazila,318.0
MBFFI|# of WIT meetings took place(total) in a facility,Roumari Upazila,232.0
MBFFI|Number of facility neonatal deaths audited,Roumari Upazila,22.0
MBFFI|# women in labour whose partograph was done,Roumari Upazila,350.0
MBFFI|Number of facility neonatal deaths audited,Ulipur Upazila,5.0
MBFFI|# postpartum mothers received 2nd PNC,Roumari Upazila,588.0
MBFFI|No. of  MNH work Improvement committee meeting,Ulipur Upazila,5.0
MBFFI|# of early (0-7 days)newborns deaths of preterm babies delivered in facility,Roumari Upazila,9.0
MBFFI|# postpartum mothers received 4th  PNC,Ulipur Upazila,502.0
MBFFI|# postpartum newborns received 1st PNC,Fulbari KG Upazila,312.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Fulbari KG Upazila,307.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Nageshwari Upazila,4.0
MBFFI|# of deaths preterm newborns(inborn),Roumari Upazila,3.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Roumari Upazila,81.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Roumari Upazila,1002.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Fulbari KG Upazila,569.0
MBFFI|Number of  full term  babies born in facility,Roumari Upazila,943.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Ulipur Upazila,3.0
