Data,Organisation unit,Value
MBFFI|# of WIT meetings took place(total) in a facility,"Kurigram District Hospital, Kurigram",537.0
MBFFI|Facility Deliveries done following  EMEN standards,"Kurigram District Hospital, Kurigram",1307.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),"Kurigram District Hospital, Kurigram",728.0
MBFFI|# newborns received 3rd PNC,"Kurigram District Hospital, Kurigram",154.0
MBFFI|# of deaths preterm newborns(inborn),"Kurigram District Hospital, Kurigram",17.0
MBFFI|No. of women given birth between 24-34 completed gestational week,"Kurigram District Hospital, Kurigram",163.0
MBFFI|No. of ongoing PDCA,"Kurigram District Hospital, Kurigram",11.0
MBFFI|Number of facility perinatal deaths audited,"Kurigram District Hospital, Kurigram",85.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,"Kurigram District Hospital, Kurigram",12.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),"Kurigram District Hospital, Kurigram",1.0
MBFFI|Number of facility neonatal deaths audited,"Kurigram District Hospital, Kurigram",176.0
MBFFI|Number of facility maternal deaths audited,"Kurigram District Hospital, Kurigram",2.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,"Kurigram District Hospital, Kurigram",275.0
MBFFI|# of early (0-7 days)newborns deaths of preterm babies delivered in facility,"Kurigram District Hospital, Kurigram",17.0
MBFFI|# sick newborns(inborn) referred,"Kurigram District Hospital, Kurigram",38.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,"Kurigram District Hospital, Kurigram",1307.0
MBFFI|Number of pregnant women with APH managed as per guideline,"Kurigram District Hospital, Kurigram",39.0
MBFFI|Number of   delivered newborns in facility given  ENC,"Kurigram District Hospital, Kurigram",1429.0
MBFFI|# postpartum mothers received 2nd PNC,"Kurigram District Hospital, Kurigram",897.0
MBFFI|No. of  Quality Improvement committee meeting,"Kurigram District Hospital, Kurigram",12.0
MBFFI|# postpartum mothers received 4th  PNC,"Kurigram District Hospital, Kurigram",301.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,"Kurigram District Hospital, Kurigram",12.0
MBFFI|ANC service provided as per EMEN standards,"Kurigram District Hospital, Kurigram",4376.0
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),"Kurigram District Hospital, Kurigram",76.0
MBFFI|No. of neonatal sepsis cases managed with antibiotics,"Kurigram District Hospital, Kurigram",726.0
MBFFI|Total newborn sepsis cases in facility,"Kurigram District Hospital, Kurigram",453.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,"Kurigram District Hospital, Kurigram",2146.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,"Kurigram District Hospital, Kurigram",27.0
MBFFI|# premature newborns(inborn )  referred out,"Kurigram District Hospital, Kurigram",13.0
MBFFI|Total newborn sepsis cases in facility (inborn ),"Kurigram District Hospital, Kurigram",63.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,"Kurigram District Hospital, Kurigram",104.0
MBFFI|Facility LBWs amongst delivered,"Kurigram District Hospital, Kurigram",87.0
MBFFI|No. of  MNH work Improvement committee meeting,"Kurigram District Hospital, Kurigram",12.0
MBFFI|Antibiotics for newborn sepsis (inborn),"Kurigram District Hospital, Kurigram",63.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,"Kurigram District Hospital, Kurigram",12.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),"Kurigram District Hospital, Kurigram",109.0
MBFFI|# postpartum mothers received 3rd PNC,"Kurigram District Hospital, Kurigram",356.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),"Kurigram District Hospital, Kurigram",109.0
MBFFI|# women in labour whose partograph was done,"Kurigram District Hospital, Kurigram",517.0
MBFFI|# newborns received 4th PNC,"Kurigram District Hospital, Kurigram",142.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,"Kurigram District Hospital, Kurigram",1276.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,"Kurigram District Hospital, Kurigram",149.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),"Kurigram District Hospital, Kurigram",343.0
MBFFI|# Pregnant women received folic acid in 1st trimester,"Kurigram District Hospital, Kurigram",2558.0
