Data,Organisation unit,Value
MBFFI|Facility Deliveries done following  EMEN standards,"Kurigram District Hospital, Kurigram",1220.0
MBFFI|# of WIT meetings took place(total) in a facility,"Kurigram District Hospital, Kurigram",507.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),"Kurigram District Hospital, Kurigram",688.0
MBFFI|# newborns received 3rd PNC,"Kurigram District Hospital, Kurigram",144.0
MBFFI|# of deaths preterm newborns(inborn),"Kurigram District Hospital, Kurigram",16.0
MBFFI|No. of women given birth between 24-34 completed gestational week,"Kurigram District Hospital, Kurigram",143.0
MBFFI|No. of ongoing PDCA,"Kurigram District Hospital, Kurigram",10.0
MBFFI|Number of facility perinatal deaths audited,"Kurigram District Hospital, Kurigram",83.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,"Kurigram District Hospital, Kurigram",11.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),"Kurigram District Hospital, Kurigram",1.0
MBFFI|Number of facility neonatal deaths audited,"Kurigram District Hospital, Kurigram",172.0
MBFFI|Number of facility maternal deaths audited,"Kurigram District Hospital, Kurigram",1.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,"Kurigram District Hospital, Kurigram",255.0
MBFFI|# of early (0-7 days)newborns deaths of preterm babies delivered in facility,"Kurigram District Hospital, Kurigram",16.0
MBFFI|# sick newborns(inborn) referred,"Kurigram District Hospital, Kurigram",37.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,"Kurigram District Hospital, Kurigram",1220.0
MBFFI|Number of pregnant women with APH managed as per guideline,"Kurigram District Hospital, Kurigram",37.0
MBFFI|Number of   delivered newborns in facility given  ENC,"Kurigram District Hospital, Kurigram",1267.0
MBFFI|# postpartum mothers received 2nd PNC,"Kurigram District Hospital, Kurigram",821.0
MBFFI|No. of  Quality Improvement committee meeting,"Kurigram District Hospital, Kurigram",11.0
MBFFI|# postpartum mothers received 4th  PNC,"Kurigram District Hospital, Kurigram",287.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,"Kurigram District Hospital, Kurigram",11.0
MBFFI|ANC service provided as per EMEN standards,"Kurigram District Hospital, Kurigram",4088.0
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),"Kurigram District Hospital, Kurigram",65.0
MBFFI|No. of neonatal sepsis cases managed with antibiotics,"Kurigram District Hospital, Kurigram",688.0
MBFFI|Total newborn sepsis cases in facility,"Kurigram District Hospital, Kurigram",413.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,"Kurigram District Hospital, Kurigram",1996.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,"Kurigram District Hospital, Kurigram",17.0
MBFFI|# premature newborns(inborn )  referred out,"Kurigram District Hospital, Kurigram",12.0
MBFFI|Total newborn sepsis cases in facility (inborn ),"Kurigram District Hospital, Kurigram",61.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,"Kurigram District Hospital, Kurigram",89.0
MBFFI|Facility LBWs amongst delivered,"Kurigram District Hospital, Kurigram",79.0
MBFFI|No. of  MNH work Improvement committee meeting,"Kurigram District Hospital, Kurigram",11.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,"Kurigram District Hospital, Kurigram",11.0
MBFFI|Antibiotics for newborn sepsis (inborn),"Kurigram District Hospital, Kurigram",61.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),"Kurigram District Hospital, Kurigram",105.0
MBFFI|# postpartum mothers received 3rd PNC,"Kurigram District Hospital, Kurigram",340.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),"Kurigram District Hospital, Kurigram",97.0
MBFFI|# women in labour whose partograph was done,"Kurigram District Hospital, Kurigram",472.0
MBFFI|# newborns received 4th PNC,"Kurigram District Hospital, Kurigram",108.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,"Kurigram District Hospital, Kurigram",1132.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,"Kurigram District Hospital, Kurigram",144.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),"Kurigram District Hospital, Kurigram",307.0
MBFFI|# Pregnant women received folic acid in 1st trimester,"Kurigram District Hospital, Kurigram",2345.0
