dir,Names,Metadata,Report
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,femalepn,Performed_Permanant Method_Female (Number)_Postpartum,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,female_total,Performed_Permanant Method_Female (Number)_Total,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,Permanent_method,Performed_Permanant Method_Total,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,Year,Year,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,Month,Month,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,District,District,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,Division,Division,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionGO_thanaconsuprocess,program,Program,GO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,thana_Name,Upazila/Thana,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,Shukhi,Distribution_Oral Pill (Cycle)_Shukhi,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,Apon,Distribution_Oral Pill (Cycle)_Apon,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,Condom,Distribution_Condom (Nirapad) (Pieces),NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,Inj_Vial,Distribution_Injectable_Vial,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,Inj_Siringe,Distribution_Injectable_Syringe,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,IUD_Normal,Distribution_IUD_New_IUD Normal,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,IUD_Partum,Distribution_IUD_New_IUD Postpartum,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,IUD_Remove,Distribution_IUD_Remove,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,Implanon,Distribution_Implant_New_Implanon,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,Jadel,Distribution_Implant_New_Jadel,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,Implant_Remove,Distribution_Implant_Remove,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,ECP,Distribution_ECP,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,Misoprostol,Distribution_Misoprostol (Dose),NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,MRM_Pack,Distribution_MRM (Pack),NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,Inj_mgs4,Distribution_Injection MgS04,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,MNP_Saset,Distribution_MNP (Saset),NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,IFA_number,Distribution_IFO (Number),NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,Sanitary_Pad,Distribution_Sanitary Pad (Number),NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,NSV,Performed_Permanant Method_Male (Number),NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,Tubectomy_Normal,Performed_Permanant Method_Female (Number)_Normal,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,Tubectomy_Partum,Performed_Permanant Method_Female (Number)_Postpartum,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,Year,Year,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,Month,Month,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,District,District,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,Division,Division,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_subdistricts/distributionNGO_thanaconsuprocess,program,Program,NGO - Upazila/Thana wise Consolated Contraceptive Distribution and Performed
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,monthid,Month & Year,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH37,Reproductive Health Service_Pregnant Mother (current month)_New,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH38,Reproductive Health Service_Pregnant Mother (current month)_Old,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH39,Reproductive Health Service_Pregnant Mother (current month)_Total,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH40,Reproductive Health Service_Pregnant Mother (previous month)_Pregnant Mother (previous month),District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH41,Reproductive Health Service_Total Pregnant Mother_Total Pregnant Mother,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH42,Reproductive Health Service_Antenatal Sevices_ANC-1,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH43,Reproductive Health Service_Antenatal Sevices_ANC-2,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH44,Reproductive Health Service_Antenatal Sevices_ANC-3,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH45,Reproductive Health Service_Antenatal Sevices_ANC-4,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH46,Reproductive Health Service_Delivery Services_Trained Person,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH47,Reproductive Health Service_Delivery Services_Non-Trained Person,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH48,Reproductive Health Service_Delivery Services_Normal,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH49,Reproductive Health Service_Delivery Services_C-Section,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH50,Reproductive Health Service_Delivery Services_No. of delivery follow (AMTSL),District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH51,Reproductive Health Service_Postnatal Services_PNC-1,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH52,Reproductive Health Service_Postnatal Services_PNC-2,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH53,Reproductive Health Service_Postnatal Services_PNC-3,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH54,Reproductive Health Service_Postnatal Services_PNC-4,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH55,Reproductive Health Service_Postnatal Services_Visit-1,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH56,Reproductive Health Service_Postnatal Services_Visit-2,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH57,Reproductive Health Service_Postnatal Services_Visit-3,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH58,Reproductive Health Service_Postnatal Services_Visit-4,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH59,Reproductive Health Service_Reproductive Health Service_No. of services after abortion,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH60,Reproductive Health Service_Reproductive Health Service_Postpartum FP method Acceptors,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH61,Reproductive Health Service_Reffer_No. of Risk/Complicated Pregnant Mother,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH62,"Reproductive Health Service_Reffer_No. of Complicated Pregnant Mother in (Antenatal,Postnatal & Delivery period)",District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH63,Reproductive Health Service_Reffer_No. of eclampsia patient in taken Inj MgS04,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH64,Reproductive Health Service_Reffer_No. of reffered neonatal due to complication,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH65,Reproductive Health Service_Infertile Couple_Adviced,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH66,Reproductive Health Service_Infertile Couple_Reffered,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH67,Reproductive Health Service_Woman Received TT_1st,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH68,Reproductive Health Service_Woman Received TT_2nd,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH69,Reproductive Health Service_Woman Received TT_3rd,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH70,Reproductive Health Service_Woman Received TT_4th,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH71,Reproductive Health Service_Woman Received TT_5th,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH72,Reproductive Health Service_No. of ECP Acceptor_No. of ECP Acceptor,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH73,Reproductive Health Service_No. of Misoprostol Acceptor_No. of Misoprostol Acceptor,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH74,Reproductive Health Service_No. of MR Service Acceptors (M V A)_No. of MR Service Acceptors (M V A),District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH75,Reproductive Health Service_No. of MR Service By Medicine)_No. of MR Service By Medicine),District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH76,Reproductive Health Service_No. of adolescent about RTI/STI_No. of adolescent about RTI/STI,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH77,Reproductive Health Service_No. of adolescent IFA Acceptor_No. of adolescent IFA Acceptor,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH78,Reproductive Health Service_No. of Sanitary Pad Acceptor_No. of Sanitary Pad Acceptor,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH79,Reproductive Health Service_RTI/STI_RTI/STI,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH80,Child Service (0-59 months)_7.1% chlorhexidine digluconate for umbilical cord care_7.1% chlorhexidine digluconate for umbilical cord care,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH81,Child Service (0-59 months)_No. of newborn Breastfeeding (First 24 hours)_No. of newborn Breastfeeding (First 24 hours),District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH82,Child Service (0-59 months)_No. of Immunized Child_BCG,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH83,Child Service (0-59 months)_No. of Immunized Child_PCV 1,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH84,Child Service (0-59 months)_No. of Immunized Child_PCV 2,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH85,Child Service (0-59 months)_No. of Immunized Child_3,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH86,Child Service (0-59 months)_No. of Immunized Child_PCV-3,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH87,Child Service (0-59 months)_No. of Immunized Child_MR & OPV-4,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH88,Child Service (0-59 months)_No. of Immunized Child_Measles vaccine,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH89,Birth-Death_Total live birth_Total live birth,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH90,Birth-Death_Low birth weight Newborn (weight <2.5KG)_Low birth weight Newborn (weight <2.5KG),District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH91,Birth-Death_Immature Newborn (Before 37 weeks)_Immature Newborn (Before 37 weeks),District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH92,Birth-Death_Still birth_Still birth,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH93,Birth-Death_Total Death_0-28 days,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH94,Birth-Death_Total Death_29days to below 1year,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH95,Birth-Death_Total Death_Total,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH96,Birth-Death_Total Death_No. of death Childbirth (1-5year),District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH97,Birth-Death_Total Death_Maternal Death,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH98,Birth-Death_Total Death_No. of Others Death,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH99,Birth-Death_Total Death_Total Death,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH100,Newly married couple in current month_Newly married couple in current month_Newly married couple in current month,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH101,General Patient_General Patient_Male,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH102,General Patient_General Patient_Female,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH103,Performed by FPI_No. of motivated male For NSV_No. of motivated male For NSV,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH104,Performed by FPI_AV van_AV van,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH105,Performed by FPI_Cluster meeting_Cluster meeting,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH106,Performed by FPI_No. of committee for Union FP_No. of committee for Union FP,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,MCH107,Performed by FPI_Presents in Satellite clinic_Presents in Satellite clinic,District Month wise MCH services
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,Year,Year,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,Month,Month,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,District,District,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,Division,Division,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/mchgo_distmonthprocess,program,Program,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,Dist_Name,District,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,MonthYear,Month & Year,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,EC,Eligible Couple_Eligible Couple,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,Pill,Oral Pill_Oral Pill,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,Con,Condom_Condom,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,Inj,Injectable_Injectable,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,IUD,I U D_I U D,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,Imp,Implant_Implant,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,PerM,Permanent Method_Male,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,PerF,Permanent Method_Female,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,TPer,Permanent Method_Total,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,TUser,Total Acceptors_Total Acceptors,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,CAR,CAR(%)_CAR(%),District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,Unnamed: 13,Unnamed,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,Year,Year,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,Month,Month,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,District,District,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,Division,Division,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/ngodistrict_monthprocess,program,Program,District Monthwise (NGO) - Contraceptive Acceptors and Acceptance Rate (CAR%)
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,monthid,Month & Year,District wise Contraceptive Distribution and Performed by month
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,Shukhi,Distribution_Oral Pill (Cycle)_Shukhi (Estrogen and progestin),District wise Contraceptive Distribution and Performed by month
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,Apon,Distribution_Oral Pill (Cycle)_Apon,District wise Contraceptive Distribution and Performed by month
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,Pill_total,Distribution_Oral Pill (Cycle)_Total,District wise Contraceptive Distribution and Performed by month
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,Condom,Distribution_Condom (Nirapad) (Pieces),District wise Contraceptive Distribution and Performed by month
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,Inj_vial,Distribution_Injectable_Vial,District wise Contraceptive Distribution and Performed by month
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,Inj_siringe,Distribution_Injectable_Syringe,District wise Contraceptive Distribution and Performed by month
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,IUD_normal,Distribution_IUD_New_IUD Normal,District wise Contraceptive Distribution and Performed by month
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,IUD_partum,Distribution_IUD_New_IUD Postpartum,District wise Contraceptive Distribution and Performed by month
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,IUD_total,Distribution_IUD_New_IUD Total,District wise Contraceptive Distribution and Performed by month
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,IUD_remove,Distribution_IUD_Remove,District wise Contraceptive Distribution and Performed by month
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,Imp_normal,Distribution_Implant_New_Implanon,District wise Contraceptive Distribution and Performed by month
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,Imp_Jadel,Distribution_Implant_New_Jadel,District wise Contraceptive Distribution and Performed by month
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,Imp_total,Distribution_Implant_New_Total,District wise Contraceptive Distribution and Performed by month
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,implant_remove,Distribution_Implant_Remove,District wise Contraceptive Distribution and Performed by month
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,ecp,Distribution_ECP,District wise Contraceptive Distribution and Performed by month
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,misoprostol,Distribution_Misoprostol (Dose),District wise Contraceptive Distribution and Performed by month
../../data/dgfp/data/importance12_districts/distributionGO_distmonthProcess,mrm_pack,Distribution_MRM (Pack),District wise Contraceptive Distribution and Performed by month
