"selection1_name","selection1_url"
"National","http://www.dgfpmis.org/ss/pusti_rep8/pustigo_nationalmonthprocess.php"
"Division wise","http://www.dgfpmis.org/ss/pusti_rep8/pustigo_divimonthprocess.php"
"District wise","http://www.dgfpmis.org/ss/pusti_rep8/pustigo_distmonthprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/pusti_rep8/pustigo_thanamonthprocess.php"
"Consulated Services","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/pusti_rep8/pustigo_diviconsuhprocess.php"
"District wise","http://www.dgfpmis.org/ss/pusti_rep8/pustigo_distconsuhprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/pusti_rep8/pustigo_thanaconsuhprocess.php"
"Facility & Satellite clinic Report","http://www.dgfpmis.org/ss/ss_menu.php#"
"Clinic & Satellite Clinic","http://www.dgfpmis.org/ss/ss_menu.php#"
"FP Method Acceptors","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/car_repform3/div_repprocess.php"
"District wise","http://www.dgfpmis.org/ss/car_repform3/dist_repprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/car_repform3/thana_repprocess.php"
"Union wise","http://www.dgfpmis.org/ss/car_repform3/facility_repprocess.php"
"Reproductive Health services Report","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise Consulated","http://www.dgfpmis.org/ss/mch_repform3/facility_divmchconsuprocess.php"
"Division wise","http://www.dgfpmis.org/ss/mch_repform3/div_mchprocess.php"
"District wise","http://www.dgfpmis.org/ss/mch_repform3/dist_mchprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/mch_repform3/thana_mchprocess.php"
"Union wise","http://www.dgfpmis.org/ss/mch_repform3/facility_mchprocess.php"
"Union wise Consulated","http://www.dgfpmis.org/ss/mch_repform3/facility_mchconsuprocess.php"
"Nutrition services Report","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/pusti_repform3/div_pustiprocess.php"
"District wise","http://www.dgfpmis.org/ss/pusti_repform3/dist_pustiprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/pusti_repform3/thana_pustiprocess.php"
"Union wise","http://www.dgfpmis.org/ss/pusti_repform3/facility_pustiprocess.php"
"Child health services Report","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise Consulated","http://www.dgfpmis.org/ss/child_repform3/divconsu_childprocess.php"
"Division wise","http://www.dgfpmis.org/ss/child_repform3/div_childprocess.php"
"District wise","http://www.dgfpmis.org/ss/child_repform3/dist_childprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/child_repform3/thana_childprocess.php"
"Union wise","http://www.dgfpmis.org/ss/child_repform3/facility_childprocess.php"
"Satellite Clinic","http://www.dgfpmis.org/ss/ss_menu.php#"
"FP Method Acceptors","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/car_repform3/divsclinic_repprocess.php"
"District wise","http://www.dgfpmis.org/ss/car_repform3/distsclinic_repprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/car_repform3/thanasclinic_repprocess.php"
"Union wise","http://www.dgfpmis.org/ss/car_repform3/facilitysclinic_repprocess.php"
"Reproductive Health services Report","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/mch_repform3/div_mchscprocess.php"
"District wise","http://www.dgfpmis.org/ss/mch_repform3/dist_mchscprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/mch_repform3/thana_mchscprocess.php"
"Union wise","http://www.dgfpmis.org/ss/mch_repform3/facility_mchscprocess.php"
"Nutrition services Report","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/pusti_repform3/divsclinic_pustiprocess.php"
"District wise","http://www.dgfpmis.org/ss/pusti_repform3/distsclinic_pustiprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/pusti_repform3/thanasclinic_pustiprocess.php"
"Union wise","http://www.dgfpmis.org/ss/pusti_repform3/facilitysclinic_pustiprocess.php"
"Child health services Report","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/child_repform3/divsclinic_childprocess.php"
"District wise","http://www.dgfpmis.org/ss/child_repform3/distsclinic_childprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/child_repform3/thanasclinic_childprocess.php"
"Union wise","http://www.dgfpmis.org/ss/child_repform3/facilitysclinic_childprocess.php"
"Satelite clinic target & acheivement","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/pusti_repform3/div_clinictarget.php"
"District wise","http://www.dgfpmis.org/ss/pusti_repform3/dist_clinictarget.php"
"Upazila wise","http://www.dgfpmis.org/ss/pusti_repform3/thana_clinictarget.php"
"Union wise","http://www.dgfpmis.org/ss/pusti_repform3/facility_clinictarget.php"
"MCWC services","http://www.dgfpmis.org/ss/ss_menu.php#"
"FP Method Acceptors","http://www.dgfpmis.org/ss/car_repform3/facility_mcwcfpview.php"
"Reproductive Health services","http://www.dgfpmis.org/ss/mch_repform3/facility_mcwcmchview.php"
"Child health & Nutrition services","http://www.dgfpmis.org/ss/pusti_repform3/facility_mcwcchildview.php"
"Specialized Hospital services","http://www.dgfpmis.org/ss/ss_menu.php#"
"FP Method Acceptors","http://www.dgfpmis.org/ss/mch_repform3/facility_shospitalfpview.php"
"Reproductive Health services","http://www.dgfpmis.org/ss/mch_repform3/facility_shospitalmchview.php"
"Child health & Nutrition services","http://www.dgfpmis.org/ss/mch_repform3/facility_shospitalchildview.php"
"Delivery in Facility","http://www.dgfpmis.org/ss/ss_menu.php#"
"Delivery in UH&FWC","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/mch_repform3/delivery_divprocess.php"
"District wise","http://www.dgfpmis.org/ss/mch_repform3/delivery_distprocess.php"
"Upazila wise","http://www.dgfpmis.org/ss/mch_repform3/delivery_thanaprocess.php"
"Delivery count Facility wise","http://www.dgfpmis.org/ss/mch_repform3/facility_deliveryrange.php"
"Delivery in Facility Division wise","http://www.dgfpmis.org/ss/mch_repform3/deliveryfacility_month.php"
"Delivery in Facility District wise","http://www.dgfpmis.org/ss/mch_repform3/deliveryfacility_dist.php"
"Delivery in Facility Range wise","http://www.dgfpmis.org/ss/mch_repform3/deliveryfacility_range.php"
"Delivery service in Upazila wise","http://www.dgfpmis.org/ss/mch_repform3/facility_deliveryrep.php"
"Others","http://www.dgfpmis.org/ss/ss_menu.php#"
"Adolescent & FP","http://www.dgfpmis.org/ss/ss_menu.php#"
"National report","http://www.dgfpmis.org/ss/adolescent_status8/adolescent_nationalprocess.php"
"Division report","http://www.dgfpmis.org/ss/adolescent_status8/adolescent_diviprocess.php"
"District report","http://www.dgfpmis.org/ss/adolescent_status8/adolescent_distprocess.php"
"Upazila report","http://www.dgfpmis.org/ss/adolescent_status8/adolescent_thanaprocess.php"
"Discrepancy","http://www.dgfpmis.org/ss/ss_menu.php#"
"Eligible Couple & Acceptors","http://www.dgfpmis.org/ss/ss_menu.php#"
"Upazila Level","http://www.dgfpmis.org/ss/others8/elcodiffer_6month.php"
"Union Level","http://www.dgfpmis.org/ss/others8/elcodiffer_6monthunion.php"
"Upazila Distribution","http://www.dgfpmis.org/ss/others8/compare_distribution.php"
"Union Eligible Couple and Acceptors(GO)","http://www.dgfpmis.org/ss/others8/compare_carunion.php"
"Union Eligible Couple and Acceptors(NGO)","http://www.dgfpmis.org/ss/others8/compare_carngounion.php"
"Union Distribution(GO)","http://www.dgfpmis.org/ss/others8/compare_distributionunion.php"
"Injectable Vial & Syringe","http://www.dgfpmis.org/ss/others8/inj_syringe.php"
"Yearly Data","http://www.dgfpmis.org/ss/others8/yearlydata_discripancy.php"
"Compare Methodmix","http://www.dgfpmis.org/ss/ss_menu.php#"
"Upazila Level (Year wise)","http://www.dgfpmis.org/ss/others8/carcomperison_study.php"
"Union Level (Month wise","http://www.dgfpmis.org/ss/others8/carcomperison_union.php"
"Compare Eligible Couple","http://www.dgfpmis.org/ss/others8/compare_car.php"
"LAPM Status","http://www.dgfpmis.org/ss/ss_menu.php#"
"Division wise","http://www.dgfpmis.org/ss/dashboard/lapm_display.php"
"District wise","http://www.dgfpmis.org/ss/dashboard/lapm_distdisplay.php"
"LAPM Achievement","http://www.dgfpmis.org/ss/ss_menu.php#"
"Upazila wise","http://www.dgfpmis.org/ss/others8/thanalapm_acheivement.php"
"District wise","http://www.dgfpmis.org/ss/others8/distlapm_acheivement.php"
"Summary CAR","http://www.dgfpmis.org/ss/ss_menu.php#"
"National","http://www.dgfpmis.org/ss/dashboard_mis/summary_car.php"
"Division","http://www.dgfpmis.org/ss/dashboard_mis/summary_cardiv.php"
"District","http://www.dgfpmis.org/ss/dashboard_mis/summary_cardist.php"
"Upazila","http://www.dgfpmis.org/ss/dashboard_mis/summary_carthana.php"
"Method distribution source","http://www.dgfpmis.org/ss/others8/method_distributionsource.php"
"Facility Readiness for DLI 09","http://www.dgfpmis.org/ss/others8/facility_dliname.php"
"Projection Analysis","http://www.dgfpmis.org/ss/ss_menu.php#"
"Short acting Method","http://www.dgfpmis.org/ss/ss_menu.php#"
"District wise","http://www.dgfpmis.org/ss/others8/projection_car_district.php"
"Upazila wise","http://www.dgfpmis.org/ss/others8/projection_car.php"
"LAPM Method","http://www.dgfpmis.org/ss/ss_menu.php#"
"District wise","http://www.dgfpmis.org/ss/others8/projection_lapm_district.php"
"Upazila wise","http://www.dgfpmis.org/ss/others8/projection_lapm.php"
