Data,Organisation unit,Value
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Fulbari KG Upazila,329.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Roumari Upazila,1057.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Roumari Upazila,16.0
MBFFI|ANC service provided as per EMEN standards,Roumari Upazila,2867.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Ulipur Upazila,68.0
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),Roumari Upazila,3.0
MBFFI|# women in labour whose partograph was done,Fulbari KG Upazila,109.0
MBFFI|Facility Deliveries done following  EMEN standards,Roumari Upazila,1044.0
MBFFI|# postpartum mothers received 2nd PNC,Fulbari KG Upazila,310.0
MBFFI|# of preterm newborns died in facility in SCANU/NSU (outborn),Ulipur Upazila,1.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Roumari Upazila,67.0
MBFFI|Number of LBW given KMC,Fulbari KG Upazila,18.0
MBFFI|# pregnant women who are poor and received financial support/free services,Fulbari KG Upazila,171.0
MBFFI|# delivered newborns for which weight was measured,Ulipur Upazila,621.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Fulbari KG Upazila,59.0
MBFFI|Number of  pre term  babies born in facility,Roumari Upazila,29.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Ulipur Upazila,9206.0
MBFFI|Facility LBWs amongst delivered,Ulipur Upazila,26.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Roumari Upazila,1050.0
MBFFI|# pregnant women with  puerperal sepsis with triple  antibiotics,Roumari Upazila,9.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Roumari Upazila,694.0
MBFFI|Total newborn sepsis cases in facility,Fulbari KG Upazila,2.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Fulbari KG Upazila,446.0
MBFFI|No. of ongoing PDCA,Ulipur Upazila,13.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Fulbari KG Upazila,621.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Nageshwari Upazila,14.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Nageshwari Upazila,304.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Nageshwari Upazila,7.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Ulipur Upazila,614.0
MBFFI|Number of   delivered newborns in facility given  ENC,Nageshwari Upazila,303.0
MBFFI|# postpartum mothers received 3rd PNC,Nageshwari Upazila,54.0
MBFFI|Number of   delivered newborns in facility given  ENC,Fulbari KG Upazila,322.0
MBFFI|# sick newborns(inborn) referred,Ulipur Upazila,1.0
MBFFI|# postpartum mothers received 1st PNC,Nageshwari Upazila,347.0
MBFFI|# pregnant women received TT during ANC,Nageshwari Upazila,2404.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Nageshwari Upazila,26.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Ulipur Upazila,26.0
MBFFI|Number of LBW given KMC,Nageshwari Upazila,7.0
MBFFI|No. of  Quality Improvement committee meeting,Ulipur Upazila,12.0
MBFFI|No. of  MNH work Improvement committee meeting,Roumari Upazila,2.0
MBFFI|# newborns received 3rd PNC,Ulipur Upazila,779.0
MBFFI|Number of newborns dried immediately after birth,Ulipur Upazila,619.0
MBFFI|# premature newborns(inborn )  referred out,Ulipur Upazila,9.0
MBFFI|Number of  pre term  babies born in facility,Fulbari KG Upazila,2.0
MBFFI|No. of  MNH work Improvement committee meeting,Nageshwari Upazila,7.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Roumari Upazila,130.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),Roumari Upazila,1.0
MBFFI|# pregnant women received TT during ANC,Fulbari KG Upazila,1507.0
MBFFI|Number of   delivered newborns in facility given  ENC,Roumari Upazila,1037.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Fulbari KG Upazila,6.0
MBFFI|Number of facility perinatal deaths audited,Fulbari KG Upazila,1.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Nageshwari Upazila,108.0
MBFFI|# of WIT meetings took place(total) in a facility,Nageshwari Upazila,168.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Nageshwari Upazila,445.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Nageshwari Upazila,32.0
MBFFI|Number of pregnant women with APH managed as per guideline,Roumari Upazila,8.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Nageshwari Upazila,10.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Nageshwari Upazila,1.0
MBFFI|No. of  MNH work Improvement committee meeting,Fulbari KG Upazila,3.0
MBFFI|Number of  pre term  babies born in facility,Nageshwari Upazila,1.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Ulipur Upazila,519.0
MBFFI|Total newborn sepsis cases in facility,Roumari Upazila,47.0
MBFFI|Number of facility perinatal deaths audited,Ulipur Upazila,2.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Roumari Upazila,1016.0
MBFFI|# pregnant women who are poor and received financial support/free services,Roumari Upazila,40.0
MBFFI|Number of LBW given KMC,Roumari Upazila,7.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Ulipur Upazila,572.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Fulbari KG Upazila,10.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Ulipur Upazila,9.0
MBFFI|Number of facility perinatal deaths audited,Roumari Upazila,11.0
MBFFI|# pregnant women who are poor and received financial support/free services,Ulipur Upazila,20.0
MBFFI|Number of LBW given KMC,Ulipur Upazila,4.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Fulbari KG Upazila,2.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Ulipur Upazila,4944.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Roumari Upazila,2.0
MBFFI|# of deaths preterm newborns(inborn),Ulipur Upazila,2.0
MBFFI|Total newborn sepsis cases in facility (inborn ),Roumari Upazila,28.0
MBFFI|# women in labour whose partograph was done,Ulipur Upazila,198.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Nageshwari Upazila,1979.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Roumari Upazila,795.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Fulbari KG Upazila,34.0
MBFFI|# postpartum mothers received 2nd PNC,Ulipur Upazila,902.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Roumari Upazila,136.0
MBFFI|Facility Deliveries done following  EMEN standards,Fulbari KG Upazila,289.0
MBFFI|# postpartum mothers received 4th  PNC,Nageshwari Upazila,91.0
MBFFI|Number of   delivered newborns in facility given  ENC,Ulipur Upazila,615.0
MBFFI|# of WIT meetings took place(total) in a facility,Ulipur Upazila,336.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Roumari Upazila,373.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Ulipur Upazila,533.0
MBFFI|# newborns received 3rd PNC,Nageshwari Upazila,52.0
MBFFI|# postpartum mothers received 3rd PNC,Fulbari KG Upazila,130.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Roumari Upazila,29.0
MBFFI|# postpartum mothers received 1st PNC,Fulbari KG Upazila,338.0
MBFFI|# of WIT meetings took place(total) in a facility,Roumari Upazila,248.0
MBFFI|Number of facility neonatal deaths audited,Roumari Upazila,22.0
MBFFI|# women in labour whose partograph was done,Roumari Upazila,374.0
MBFFI|Number of facility neonatal deaths audited,Ulipur Upazila,5.0
MBFFI|# postpartum mothers received 2nd PNC,Roumari Upazila,706.0
MBFFI|No. of  MNH work Improvement committee meeting,Ulipur Upazila,6.0
MBFFI|# of early (0-7 days)newborns deaths of preterm babies delivered in facility,Roumari Upazila,9.0
MBFFI|# postpartum mothers received 4th  PNC,Ulipur Upazila,538.0
MBFFI|# postpartum newborns received 1st PNC,Fulbari KG Upazila,332.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Fulbari KG Upazila,326.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Nageshwari Upazila,4.0
MBFFI|# of deaths preterm newborns(inborn),Roumari Upazila,3.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Roumari Upazila,83.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Roumari Upazila,1103.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Fulbari KG Upazila,588.0
MBFFI|Number of  full term  babies born in facility,Roumari Upazila,1032.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Ulipur Upazila,3.0
