Data,Organisation unit,Value
MBFFI|# pregnant women received TT during ANC,Nageswari Upazila Health Complex,2404.0
MBFFI|Total newborn sepsis cases in facility (inborn ),Rowmari Upazila Health Complex,28.0
MBFFI|Total inborn newborn sepsis cases in facility (inborn and outborn),Nageswari Upazila Health Complex,26.0
MBFFI|# of late(8-28 days) newborns deaths out of full term babies  (inborn),Ulipur Upazila Health Complex,1.0
MBFFI|Number of pregnant women with APH managed as per guideline,Ulipur Upazila Health Complex,1.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),Rowmari Upazila Health Complex,51.0
MBFFI|Number of newborns dried immediately after birth,Nageswari Upazila Health Complex,304.0
MBFFI|Facility Deliveries by EMEN standards amongst all deliveries,Fulbari KG Upazila Health Complex,289.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Fulbari KG Upazila Health Complex,34.0
MBFFI|No. of  Quality Improvement committee meeting,Nageswari Upazila Health Complex,10.0
MBFFI|# newborns received 4th PNC,Nageswari Upazila Health Complex,87.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Rowmari Upazila Health Complex,795.0
MBFFI|Antibiotics for newborn sepsis (inborn),Fulbari KG Upazila Health Complex,6.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Nageswari Upazila Health Complex,304.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Rowmari Upazila Health Complex,694.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Nageswari Upazila Health Complex,7.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Nageswari Upazila Health Complex,14.0
MBFFI|# pregnant women with  puerperal sepsis with triple  antibiotics,Rowmari Upazila Health Complex,9.0
MBFFI|# postpartum mothers received 4th  PNC,Fulbari KG Upazila Health Complex,48.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Ulipur Upazila Health Complex,533.0
MBFFI|# postpartum mothers received 3rd PNC,Nageswari Upazila Health Complex,54.0
MBFFI|Number of   delivered newborns in facility given  ENC,Nageswari Upazila Health Complex,303.0
MBFFI|No. of  Quality Improvement committee meeting with proper resolution,Fulbari KG Upazila Health Complex,10.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Nageswari Upazila Health Complex,1.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Fulbari KG Upazila Health Complex,36.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Ulipur Upazila Health Complex,68.0
MBFFI|# sick newborns(inborn) referred,Fulbari KG Upazila Health Complex,22.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Ulipur Upazila Health Complex,4289.0
MBFFI|# of WIT meetings took place(total) in a facility,Fulbari KG Upazila Health Complex,171.0
MBFFI|Number of  full term  babies born in facility,Rowmari Upazila Health Complex,1032.0
MBFFI|Total newborn sepsis cases in facility,Rowmari Upazila Health Complex,47.0
MBFFI|# pregnant women counseled for newborn care including   breastfeeding,Fulbari KG Upazila Health Complex,3938.0
MBFFI|Number of  pre term  babies born in facility,Nageswari Upazila Health Complex,1.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Rowmari Upazila Health Complex,1103.0
MBFFI|Antibiotics for newborn sepsis (inborn and outborn),Fulbari KG Upazila Health Complex,6.0
MBFFI|No. of  MNH work Improvement committee meeting,Ulipur Upazila Health Complex,6.0
MBFFI|# pregnant women for whom appropriate action was taken for any abnormality detected by partograph,Fulbari KG Upazila Health Complex,2.0
MBFFI|# delivered newborns for which weight was measured,Fulbari KG Upazila Health Complex,322.0
MBFFI|# newborns received 3rd PNC,Fulbari KG Upazila Health Complex,130.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Ulipur Upazila Health Complex,621.0
MBFFI|No. of neonatal sepsis cases managed with antibiotics,Rowmari Upazila Health Complex,48.0
MBFFI|No. of  MNH work Improvement committee meeting with proper resolution,Ulipur Upazila Health Complex,9.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Fulbari KG Upazila Health Complex,2.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Nageswari Upazila Health Complex,108.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Rowmari Upazila Health Complex,16.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Nageswari Upazila Health Complex,445.0
MBFFI|# of newborns for whom additional support for BF is provided(outborn),Rowmari Upazila Health Complex,130.0
MBFFI|Number of facility neonatal deaths audited,Rowmari Upazila Health Complex,22.0
MBFFI|No. of  MNH work Improvement committee meeting,Rowmari Upazila Health Complex,2.0
MBFFI|# pregnant women received TT during ANC,Fulbari KG Upazila Health Complex,1507.0
MBFFI|Number of newborns dried immediately after birth,Fulbari KG Upazila Health Complex,324.0
MBFFI|# postpartum mothers received 1st PNC,Nageswari Upazila Health Complex,347.0
"MBFFI|# of pregnant women had minimal investigations (blood group and rh typing, urine sugar/ urine albumin, Hb, USG) during ANC",Nageswari Upazila Health Complex,1979.0
MBFFI|# of early(0-7 days) newborns deaths of full term babies delivered in facility,Ulipur Upazila Health Complex,62.0
MBFFI|Number of  full term  babies born in facility,Ulipur Upazila Health Complex,572.0
MBFFI|No. of  Quality Improvement committee meeting,Fulbari KG Upazila Health Complex,11.0
MBFFI|Number of facility perinatal deaths audited,Ulipur Upazila Health Complex,2.0
MBFFI|Number of facility neonatal deaths audited,Ulipur Upazila Health Complex,5.0
MBFFI|# premature newborns(inborn )  referred out,Fulbari KG Upazila Health Complex,4.0
MBFFI|Number of LBW given KMC,Nageswari Upazila Health Complex,7.0
MBFFI|Number of  pre term  babies born in facility,Ulipur Upazila Health Complex,26.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Rowmari Upazila Health Complex,29.0
MBFFI|Number of neonatal deaths (inborns),Rowmari Upazila Health Complex,18.0
MBFFI|# Pregnant women received folic acid in 1st trimester,Fulbari KG Upazila Health Complex,59.0
MBFFI|Total newborn sepsis cases in facility (inborn ),Fulbari KG Upazila Health Complex,6.0
MBFFI|Facility Deliveries done following  EMEN standards,Ulipur Upazila Health Complex,614.0
MBFFI|# postpartum mothers received 1st PNC,Rowmari Upazila Health Complex,1460.0
MBFFI|# postpartum newborns  received 2nd PNC,Fulbari KG Upazila Health Complex,307.0
MBFFI|# of newborns for whom additional support for BF is provided(inborn),Fulbari KG Upazila Health Complex,303.0
MBFFI|# postpartum newborns received 1st PNC,Rowmari Upazila Health Complex,1375.0
MBFFI|# women in labour whose partograph was done,Fulbari KG Upazila Health Complex,109.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Ulipur Upazila Health Complex,29.0
MBFFI|# of WIT meetings took place(total) in a facility,Ulipur Upazila Health Complex,336.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Ulipur Upazila Health Complex,3.0
MBFFI|# sick newborns (inborn ) managed in NSU/SCANU,Nageswari Upazila Health Complex,7.0
MBFFI|Facility Deliveries done following  EMEN standards,Rowmari Upazila Health Complex,1044.0
MBFFI|# postpartum mothers received 1st PNC,Ulipur Upazila Health Complex,621.0
MBFFI|Number of neonatal deaths (inborns),Ulipur Upazila Health Complex,2.0
MBFFI|Number of  pre term  babies born in facility,Rowmari Upazila Health Complex,29.0
MBFFI|Number of  full term  babies born in facility,Nageswari Upazila Health Complex,285.0
MBFFI|# newborns whose cord clamped between 1-3 min after birth,Rowmari Upazila Health Complex,1057.0
MBFFI|# of WIT meetings took place(total) in a facility,Nageswari Upazila Health Complex,168.0
MBFFI|# postpartum newborns received 1st PNC,Ulipur Upazila Health Complex,625.0
MBFFI|Number of facility perinatal deaths audited,Fulbari KG Upazila Health Complex,1.0
MBFFI|# postpartum mothers received 4th  PNC,Ulipur Upazila Health Complex,538.0
MBFFI|Number of facility neonatal deaths audited,Nageswari Upazila Health Complex,1.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Nageswari Upazila Health Complex,4.0
MBFFI|Number of pregnant women with delivery or obstructed complication refered out,Rowmari Upazila Health Complex,67.0
MBFFI|No. of ongoing PDCA,Nageswari Upazila Health Complex,6.0
MBFFI|Number of   delivered newborns in facility given  ENC,Rowmari Upazila Health Complex,1037.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Nageswari Upazila Health Complex,319.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Ulipur Upazila Health Complex,30.0
MBFFI|# newborns received 3rd PNC,Nageswari Upazila Health Complex,52.0
MBFFI|# of  full term newborns died in SCANU/NSU (outborn),Rowmari Upazila Health Complex,9.0
MBFFI|Number of   delivered newborns in facility given  ENC,Ulipur Upazila Health Complex,615.0
MBFFI|Number of facility neonatal deaths audited,Fulbari KG Upazila Health Complex,1.0
MBFFI|# of deaths preterm newborns(inborn),Fulbari KG Upazila Health Complex,1.0
MBFFI|# postpartum mothers received 3rd PNC,Ulipur Upazila Health Complex,749.0
MBFFI|# pregnant women who are poor and received financial support/free services,Fulbari KG Upazila Health Complex,171.0
MBFFI|Number of sick newborns (inborn and outborn)managed in NSU/SCANU,Fulbari KG Upazila Health Complex,38.0
MBFFI|Number of pregnant women with preeclampsia/eclampsia managed according to guideline,Nageswari Upazila Health Complex,2.0
MBFFI|# pregnant women received 10 units of oxytocin within 1 min of all deliveries,Fulbari KG Upazila Health Complex,299.0
MBFFI|Number of LBW given KMC,Fulbari KG Upazila Health Complex,18.0
MBFFI|# pregnant women with prolongd labour managed as per guideline,Rowmari Upazila Health Complex,121.0
MBFFI|# postpartum mothers received counseling including BF  afetr delivery/before discharge,Fulbari KG Upazila Health Complex,329.0
MBFFI|# postpartum mothers received 3rd PNC,Rowmari Upazila Health Complex,414.0
MBFFI|# of pregnant  women with  ruptured membrane given antibiotics,Fulbari KG Upazila Health Complex,137.0
MBFFI|# pregnant women with labour pain rapidly assessed within 30 min of arrival,Fulbari KG Upazila Health Complex,446.0
MBFFI|Number of  full term  babies born in facility,Fulbari KG Upazila Health Complex,305.0
MBFFI|# postpartum mothers received 2nd PNC,Fulbari KG Upazila Health Complex,310.0
MBFFI|No. of women given birth between 24-34 completed gestational week,Ulipur Upazila Health Complex,26.0
MBFFI|# postpartum mothers received 4th  PNC,Nageswari Upazila Health Complex,91.0
MBFFI|No. of  MNH work Improvement committee meeting,Nageswari Upazila Health Complex,7.0
