"Survey.Units","BCG_Children23M","OPV1_Children23M","PENTA1_Children23M","OPV2_Children23M","PENTA2_Children23M","OPV3_Children23M","PENTA3_Children23M","Measles_Children23M","Fully_Children23M","BCG_Children12M","OPV1_Children12M","PENTA1_Children12M","OPV2_Children12M","PENTA2_Children12M","OPV3_Children12M","PENTA3_Children12M","Measles_Children12M","Fully_Children12M","DropoutPENTA1-PENTA3_Male23M","DropoutPENTA1-PENTA3_Female23M","DropoutPENTA1-PENTA3_Children23M","DropoutPENTA1-Measles_Male23M","DropoutPENTA1-Measles_Female23M","DropoutPENTA1-Measles_Children23M","InvalidPENTA1_Infant12M","InvalidPENTA2_Infant12M","InvalidPENTA3_Infant12M","InvalidMeasles_Infant12M","Measles2ndDoseCrude","Measles2ndDose_Children18M","Measles2ndDose_Children23M","TT1_Mother0-11MChildren","TT2_Mother0-11MChildren","TT3_Mother0-11MChildren","TT4_Mother0-11MChildren","TT5_Mother0-11MChildren","TetanusAtBirth_Mother0-11MChildren","TT1_Woman18-49Y","TT2_Woman18-49Y","TT3_Woman18-49Y","TT4_Woman18-49Y","TT5_Woman18-49Y","Year"
"Chittagong",96.2,91.8,91.8,92.5,92.5,93,93,87,82.4,96.2,91.8,91.8,92.5,92.5,92.5,92.5,81.4,78,1.9,0,1,3.8,5.2,4.5,3.4,4.6,6.4,5.7,84.3,75.4,79.8,99,98.1,91,74.3,53.8,93.3,96.2,95.2,89,78.1,55.7,2015
"Chittagong CC",100,93.5,93.5,92.4,92.4,90.6,90.6,87.4,83.1,100,93.5,93.5,91.7,91.7,90.6,90.6,82.8,78.6,4.1,9.1,6.2,8.2,8,8.1,3.2,4.7,6.8,5.2,72.9,63.7,70,96.7,93.3,67.1,41.9,26.2,91.9,90.5,89,67.1,49,27.1,2015
"Chittagong CC Slum",100,96,96,94.4,94.4,93.4,93.4,84.3,80.4,99.3,96,96,94.4,94.4,92,92,76.4,71.8,2.7,4.1,3.3,12.5,12.2,12.4,1.3,3.4,4.2,4.1,70.5,54.6,64.1,96.7,94.3,75.7,53.8,38.6,92.9,95.2,91.4,75.2,50.5,35.7,2015
"Chittagong Division",99.1,93.4,93.4,94.7,94.7,94,94,90.5,85.6,98.9,93.3,93.3,94.5,94.5,93.6,93.6,86.1,81.6,1.7,2.1,1.9,4.9,6.1,5.4,3.7,4.8,6.5,3.6,82.9,72.7,77.8,98.6,97.4,87.7,70.7,49.2,92.8,96.1,94.7,85.1,68.5,46,2015
"Chuadanga",100,94.3,94.3,95.4,95.4,93.5,93.5,95.6,89.2,100,94.3,94.3,95.4,95.4,92.9,92.9,91.9,85.5,0.8,4.5,2.4,0.8,5.6,2.9,3.1,4.7,7,1.7,91,84.4,86.6,99,98.1,88.1,71,51,93.3,97.1,94.8,80,55.2,40,2015
"Comilla",100,91.5,91.5,94.6,94.6,92.4,92.4,93.3,90.2,99.3,90.8,90.8,93.9,93.9,91,91,85.9,82.7,1.8,2,1.9,4.5,6,5.2,4.3,4.3,5.9,1.7,78.6,67.7,75.2,99.5,99,88.6,68.1,41.4,94.8,97.6,95.7,85.7,64.3,42.9,2015
"Comilla CC",100,95.1,95.1,95.2,95.2,95.6,95.6,93.7,86.8,100,95.1,95.1,95.2,95.2,94.3,94.3,85.6,80,2.8,1,1.9,3.7,3.9,3.8,3.1,6.2,8.4,2.8,91,70.5,78.1,99.5,99,94.3,80.5,60.5,97.6,99.5,97.1,90.5,74.8,52.4,2015
"Cox’s Bazar",99.5,93.1,93.1,92.1,92.1,91.8,91.8,88.3,81.8,99.5,93.1,93.1,92.1,92.1,91.8,91.8,83.8,78,2.7,4.1,3.3,9,7.1,8.1,3.8,7.1,8.4,3.6,80.5,67.6,74.4,99,98.6,94.8,86.7,60,95.7,93.3,91.9,88.6,77.6,54.8,2015
"Dhaka",99.5,93.6,93.6,90,90,91.3,91.3,88.8,80.4,99.5,93.6,93.6,89.2,89.2,90.5,90.5,84.2,75.8,2.8,1.9,2.4,8.5,6.8,7.7,3,7.6,9.2,3.5,81.4,69.8,77,94.8,93.8,77.1,63.8,42.9,91,85.2,81,69.5,55.7,45.2,2015
"Dhaka CC Slum",99,89.6,89.6,85.5,85.5,81.5,81.5,80,74.2,99,89.6,89.6,85.5,85.5,80.9,80.9,73.8,68.5,8.5,11.1,9.8,16,17.2,16.6,3.4,7.9,8.2,1.9,65.2,54.9,61.8,94.8,90,68.1,47.6,30,80.5,93.3,86.7,63.3,45.2,32.4,2015
"Dhaka Division",99.5,93.4,93.4,94,94,93.1,93.1,91,85.4,99.4,93.3,93.3,93.7,93.7,92.6,92.6,86.1,81.1,2,3.2,2.6,5.6,6.7,6.2,3.2,4.7,6.2,2.6,83,72.3,78.2,96.2,94.8,81.9,64.8,45.1,89.3,93.1,90.3,77.5,61,42.2,2015
"Dhaka North CC",100,93.1,93.1,93,93,90,90,81.7,75.6,100,93.1,93.1,92.3,92.3,88.5,88.5,71.1,67.2,3.7,8.8,6.2,13,14.7,13.8,4.6,6.2,7.3,6,73.8,62.8,67.8,91.9,90.5,70,46.7,29.5,85.2,93.3,91,71.4,56.2,38.6,2015
"Dhaka South CC",100,90,90,91.8,91.8,94.3,94.3,90.7,86.3,100,90,90,90.6,90.6,90.6,90.6,84.6,81.3,2.8,4,3.3,5.5,5.9,5.7,5.6,7.1,9,4.1,86.2,62.8,71.6,84.3,83.8,72.9,62.4,50,83.8,86.7,85.7,73.8,60.5,40,2015
"Dinajpur",99.5,96.9,96.9,95.4,95.4,96.5,96.5,95.1,88.3,99.5,96.9,96.9,95.4,95.4,96.5,96.5,90.9,84.2,0,1,0.5,0.9,3.1,1.9,2.6,5.7,7.8,2.7,92.9,85.7,89,98.1,97.6,88.6,69.5,50,89,99,96.7,89,72.9,56.2,2015
"Faridpur",100,92.7,92.7,92.7,92.7,92.9,92.9,88.5,84.3,100,92.7,92.7,92.7,92.7,92.9,92.9,86.8,82.5,4.6,4.9,4.8,8.3,7.8,8.1,3.4,4,4.8,3.8,81.4,71.2,78.7,99,96.7,84.8,71,49.5,91.4,97.6,96.2,84.3,68.1,43.3,2015
"Feni",100,96.6,96.6,95.6,95.6,95.7,95.7,93.4,89.9,100,96.6,96.6,95.6,95.6,95.7,95.7,92.3,88.8,1.8,1,1.4,4.5,4,4.3,1.7,3.4,4.6,2.4,88.1,82.1,83.9,99,97.6,91.4,81.9,62.4,90.5,94.8,94.3,83.8,69.5,53.8,2015
"Gaibandha",99.5,93.5,93.5,95.2,95.2,92.8,92.8,90.6,87.1,99.5,93.5,93.5,95.2,95.2,92.8,92.8,87.7,84.7,4.6,1,2.9,6.4,6.1,6.3,2.8,3.4,4.7,2.6,80,74.9,78.3,99,98.1,87.1,66.7,40,91.9,98.6,98.1,91,64.8,46.2,2015
"Gazipur",99.5,92.7,92.7,93,93,93.7,93.7,93,88.9,99.5,92.7,92.7,93,93,92.6,92.6,83.1,78.9,1.8,3.2,2.4,5.3,4.2,4.8,2.9,4.6,5.3,2.1,80,64.3,74.3,96.7,93.8,81,70,51.4,87.6,91,87.1,74.8,58.6,40,2015
"Gazipur CC",99,94.1,94.1,94.6,94.6,91.7,91.7,91.2,84.8,99,94.1,94.1,94.6,94.6,91.7,91.7,82.6,77.5,2.8,2,2.4,7.3,7.1,7.2,2.1,3.6,6.6,0.9,77.6,72.1,76.7,97.6,96.2,80.5,59,35.7,94.3,94.8,92.9,75.2,59.5,40,2015
"Gopalganj",99.5,91.1,91.1,94.8,94.8,93.9,93.9,91.2,86.2,99,90.5,90.5,94.3,94.3,93.4,93.4,83.6,78.5,1.7,1.1,1.4,5.2,6.5,5.8,5.4,6.5,6.5,2.5,91.4,76,84.9,96.2,94.3,77.1,57.1,37.1,87.1,98.1,97.6,88.1,65.2,41,2015
"Habiganj",98.1,92.2,92.2,94.7,94.7,94.3,94.3,89.8,82.6,98.1,92.2,92.2,94.7,94.7,94.3,94.3,85.6,79,0,1.8,1,2.1,2.7,2.4,4.9,6.8,8.7,6,84.3,68.1,75.2,96.2,95.2,87.1,72.9,54.3,87.6,96.2,93.3,84.3,64.8,46.2,2015
"Jamalpur",100,95.1,95.1,96.4,96.4,94.9,94.9,93.2,88.9,100,95.1,95.1,95.8,95.8,94.4,94.4,90.3,87.2,1.7,3.2,2.4,6,5.4,5.7,2.8,2.8,3.4,1.2,82.9,75.2,78.2,99.5,99,82.9,61,44.3,88.1,96.2,93.8,76.7,56.2,39,2015
"Jessore",99,95,95,95,95,93.6,93.6,92.7,85.5,98.5,94.5,94.5,94.5,94.5,93.1,93.1,89.6,82.9,0,3.7,1.9,1,5.6,3.4,3.1,4.7,6.4,3.3,87.1,74.4,82.6,98.6,97.6,92.4,75.2,50,95.7,99,98.6,94.8,78.1,46.7,2015
"Jhalokati",100,97.8,97.8,97.3,97.3,99,99,97.8,94.5,100,97.8,97.8,96.7,96.7,97.8,97.8,93.4,90,0.9,0,0.5,0.9,0,0.5,1.7,3.4,3.4,1.8,93.3,82.7,86.6,100,99,90,78.6,58.6,95.7,100,99.5,89.5,71,54.3,2015
"Jhenaidah",99,93.3,93.3,93.4,93.4,94.4,94.4,89.4,83,99,93.3,93.3,93.4,93.4,92.8,92.8,80.8,74.9,0,2.2,1,2.6,7.7,4.8,3.2,5.8,8.8,5.7,88.1,72.2,78.9,97.6,94.8,77.1,59,35.7,91,99.5,98.6,85.2,69.5,40,2015
"Joypurhat",100,93.7,93.7,96.4,96.4,98.5,98.5,96.5,91.2,100,93.7,93.7,96.4,96.4,98,98,93.3,88,1.7,0,1,2.5,0,1.4,4.7,6.9,7,2.2,94.3,85.4,89.8,98.6,97.1,90,82.9,63.8,93.3,99.5,97.1,90,78.1,54.8,2015
"Khagrachari",100,93.7,93.7,95.4,95.4,96,96,91.6,85.8,100,93.7,93.7,95.4,95.4,96,96,87.9,82.6,0.9,3,1.9,3.7,6,4.8,4.8,5.8,6.4,3.5,87.6,79.3,81.7,95.7,94.3,82.4,69.5,48.6,85.7,97.6,92.4,76.2,52.4,32.9,2015
"Khulna",99,94.4,94.4,92,92,94.6,94.6,90.6,85.9,99,94.4,94.4,92,92,94.6,94.6,89.6,84.9,1.8,2,1.9,5.5,4.1,4.8,2.1,5.3,5.9,3.4,83.3,76,79.9,97.6,93.8,85.2,68.1,45.7,87.6,94.8,93.3,86.2,72.9,53.8,2015
"Khulna CC",99,93,93,94.7,94.7,93.3,93.3,88.3,85.8,99,93,93,93.4,93.4,92,92,80.8,79.6,1,4.6,2.9,8.2,10.1,9.2,3.8,4.5,5.2,1.5,63.3,55.2,61.1,96.7,94.8,80,61,45.2,87.1,90.5,89,70,51.9,32.9,2015
"Khulna Division",99.5,94.6,94.6,94.6,94.6,94.8,94.8,92.6,87.2,99.3,94.4,94.4,94.3,94.3,94.1,94.1,88.8,83.6,1,2.1,1.5,3.5,4.9,4.2,2.6,4.6,5.9,2.9,87.2,76.8,82.7,98.6,96.7,87.1,69.2,46.9,92.6,97.7,96.5,86.5,69.4,45.3,2015
"Kishoreganj",100,98.3,98.3,97.3,97.3,97.4,97.4,95.1,92.9,100,98.3,98.3,97.3,97.3,97.4,97.4,91.7,90.1,0.9,1,1,2.8,5.8,4.3,0.6,1.7,2.3,0.6,84.8,77.9,82.5,97.6,95.2,83.8,66.2,46.2,83.8,91.4,88.6,77.1,61.9,41.4,2015
"Kurigram",100,96.4,96.4,96.9,96.9,95.4,95.4,94.6,88.4,100,96.4,96.4,96.9,96.9,94.4,94.4,91.5,84.8,1.1,0,0.5,4.2,3.5,3.8,1.5,3.1,6.3,1.7,82.4,75.6,79.3,99.5,99,87.6,60.5,35.7,94.8,100,97.6,85.7,63.3,44.3,2015
"Kushtia",100,97.2,97.2,97.2,97.2,98.5,98.5,96,92.1,100,97.2,97.2,97.2,97.2,98.5,98.5,96,92.1,1,0.9,1,2.9,2.8,2.9,1.7,4,4,1.1,90,82.1,87,99.5,98.1,88.6,68.1,46.2,93.3,99,98.6,91.4,74.3,46.7,2015
"Lakshmipur",100,94,94,98.4,98.4,96.8,96.8,92,86.3,100,94,94,98.4,98.4,96.8,96.8,87.8,82.7,1.7,1.1,1.4,5.1,7.5,6.2,4.8,4.8,6.1,2,88.1,77.7,82.9,98.6,97.1,87.6,74.3,45.7,94.3,100,100,95.7,75.2,50.5,2015
"Lalmonirhat",100,90.5,90.5,94.1,94.1,96.3,96.3,95.7,89.6,100,90.5,90.5,94.1,94.1,96.3,96.3,89,83.5,0,0,0.5,0,0.9,0.5,5.3,7.4,7.5,4.2,84.3,78.7,80.4,98.1,95.7,85.2,67.1,39,92.4,99.5,98.6,80,60,38.6,2015
"Madaripur",99,95.1,95.1,92.3,92.3,92.2,92.2,93.7,89,99,95.1,95.1,91.7,91.7,91.6,91.6,88.3,83.6,3.6,2.1,2.9,3.6,3.1,3.4,0.7,2.7,3.4,2.2,84.3,64,75.3,98.1,96.7,82.4,66.2,48.6,86.2,90,87.6,74.8,61.4,43.8,2015
"Magura",99.5,95.7,95.7,94.1,94.1,95.3,95.3,89.5,86.1,99,94.6,94.6,93.6,93.6,93.1,93.1,82.2,78.8,0.9,1,1,5.5,8,6.7,1.1,2.2,4,3.9,83.8,70.7,79.2,98.6,96.7,88.6,76.7,63.3,88.1,99.5,99,91.4,74.8,57.1,2015
"Manikganj",100,92.9,92.9,95.2,95.2,93,93,93.6,89.6,100,92.9,92.9,95.2,95.2,93,93,88,83.9,0.9,1.9,1.4,4.7,4.9,4.8,3.8,4.4,7.8,1.9,90.5,81,86.9,95.2,95.2,85.7,64.8,43.8,86.7,95.2,90.5,75.7,54.3,32.4,2015
"Meherpur",100,92.6,92.6,95.8,95.8,93.4,93.4,92.6,88.2,100,92.6,92.6,95.8,95.8,93.4,93.4,89.9,85.4,2.6,2.1,2.4,5.2,6.4,5.7,4.3,4.3,4.9,1.8,88.6,81.9,84.9,98.6,95.7,81.9,64.8,40,92.4,96.7,91.9,66.7,41.4,26.7,2015
"Moulavibazar",97.6,91.3,91.3,93.2,93.2,91.8,91.8,85.2,82.5,97.6,91.3,91.3,92.6,92.6,91.3,91.3,84.1,81.5,2.9,5,3.9,5.8,8,6.9,3.9,4.5,4.6,5.4,85.2,77.9,81.3,97.6,97.1,92.4,77.6,64.8,90.5,97.1,95.7,88.6,75.7,57.1,2015
"Munshiganj",99.5,93.4,93.4,94.6,94.6,93.6,93.6,94,86.8,99.5,93.4,93.4,94.1,94.1,93.1,93.1,89.6,83.5,1,0.9,1,6,0.9,3.3,3.3,5,7.3,2.4,87.1,75.9,79.9,93.3,92.9,87.6,71.9,52.4,88.1,91,88.1,79,63.8,47.1,2015
"Mymensingh",99.5,93.4,93.4,94.5,94.5,92.6,92.6,93.8,87.4,99.5,93.4,93.4,94.5,94.5,92,92,91.1,84.3,2,2.8,2.4,3,6.5,4.8,3.1,4.7,6.4,0.6,88.1,80.4,85.1,98.1,96.7,88.1,71.4,49.5,90,97.6,94.3,82.4,68.6,46.2,2015
"Narail",100,92.7,92.7,95.7,95.7,93.3,93.3,87,83.5,100,92.7,92.7,95.1,95.1,91.5,91.5,81.8,78.3,2.9,3.7,3.3,7.8,11.1,9.5,4.5,5.2,6,4.1,77.1,63.3,72.5,97.6,95.2,81.9,65.7,49,89.5,93.8,88.6,75.2,61,39,2015
"Narayanganj",99,93.3,93.3,92.8,92.8,93.1,93.1,88.5,81.9,99,93.3,93.3,92.8,92.8,93.1,93.1,87.8,81.2,0,7.8,3.8,4.8,10.7,7.7,3.6,5.9,6.8,3.2,78.6,63.9,73.2,97.1,94.3,79,61,40.5,91,98.1,93.8,75.2,56.7,36.7,2015
"Narayanganj CC",98.1,87.7,87.7,91.8,91.8,88.4,88.4,82.9,72.6,97.4,87,87,90.4,90.4,87,87,77.3,69,3.1,6.5,4.9,10.2,14.8,12.6,7.2,8.8,11.3,3.5,80.5,64.1,73.4,94.8,92.4,77.6,62.9,42.4,92.4,81,79.5,69.5,59.5,48.6,2015
"Narsingdi",99,94.9,94.9,94.5,94.5,93.1,93.1,89,87.1,99,94.9,94.9,93.9,93.9,93.1,93.1,82.5,80.9,1.9,3,2.4,1.9,7.9,4.8,0.6,1.2,2.5,6,80.5,65.9,74.8,99.5,96.7,82.9,60,41.9,91.4,96.2,91.4,79,52.9,32.4,2015
"National",99.4,94,94,94.7,94.7,94.1,94.1,91.7,86.5,99.3,93.9,93.9,94.5,94.5,93.6,93.6,87.4,82.5,1.6,2.4,2,4.3,5.5,4.9,3.1,4.6,6.1,3,85,75.3,80.5,97.7,96.3,85.8,68.5,47.8,91.5,96,94,83.6,66.7,46.1,2015
"Natore",100,97.1,97.1,96.5,96.5,97.4,97.4,93.7,89,100,97.1,97.1,96.5,96.5,96.8,96.8,90.2,86.1,1.8,1,1.4,3.6,3.1,3.3,1.7,4.1,4.8,3.1,88.1,83.7,85.6,99,98.1,92.4,77.1,55.2,96.2,98.1,97.1,87.1,72.9,51.9,2015
"Netrokona",98.6,90,90,94.9,94.9,92.9,92.9,90.4,82.7,98,89.5,89.5,94.4,94.4,91.8,91.8,83.9,76.7,1,2.9,1.9,2,5.7,3.9,6,7.2,9.6,4.9,80,67.9,72.4,97.6,97.1,86.7,69,45.7,92.9,91.9,88.1,75.2,63.8,43.8,2015
"Nilphamari",100,95.5,95.5,95.5,95.5,95.5,95.5,96,92.9,100,95.5,95.5,95.5,95.5,95.5,95.5,93,89.8,0,0,0,2,0.9,1.4,1.5,3,4.5,2.7,90,82.5,87.5,98.6,97.1,87.1,70,50.5,89.5,98.6,98.1,84.8,65.7,46.2,2015
"Noagoan",100,94.7,94.7,95.5,95.5,94.2,94.2,95.1,88.1,100,94.7,94.7,95.5,95.5,94.2,94.2,92,85,2.7,3.1,2.9,4.5,4.1,4.3,1.8,4.2,6.1,0.7,87.6,80.1,85.7,99,98.6,89.5,71.9,48.1,95.2,99.5,97.6,83.8,59,34.3,2015
"Noakhali",99.5,94.2,94.2,96.6,96.6,96.1,96.1,89.5,86.8,99.5,94.2,94.2,96.6,96.6,96.1,96.1,86.2,83.5,0.9,2,1.4,7.3,9,8.1,3.3,3.4,3.4,2.2,73.8,63.8,68.4,98.1,95.7,82.4,59,42.9,91.9,92.4,90.5,72.9,57.6,35.2,2015
"Nowabganj",99,95.3,95.3,94.8,94.8,93.3,93.3,94.2,87.6,99,95.3,95.3,94.3,94.3,92.2,92.2,87.6,81.5,0.9,2.2,1.4,4.3,4.3,4.3,2.2,4.4,6.8,0.6,86.7,80.5,84.4,98.1,97.1,89.5,70.5,41.9,92.4,98.6,96.2,91.9,70,48.1,2015
"Pabna",100,99.4,99.4,97.7,97.7,98.9,98.9,96.7,94.4,100,99.4,99.4,97.7,97.7,98.9,98.9,94.4,92.1,0,0.9,0.5,0,1.9,1,0,1.7,2.3,2.4,90.5,82,86.9,100,99.5,89.5,75.2,59.5,96.2,97.1,95.7,91.4,71,53.3,2015
"Panchagarh",100,93.9,93.9,96.2,96.2,95,95,94.6,89,97.8,91.6,91.6,93.9,93.9,92.2,92.2,88.9,84.3,1.1,0,0.5,1.1,2.5,1.9,2.9,3.5,5.8,3.8,93.3,82.9,87.8,100,99,90,72.4,47.1,92.4,99,95.7,87.6,74.8,52.9,2015
"Patuakhali",100,96.2,96.2,97.9,97.9,96.5,96.5,94,89.6,100,96.2,96.2,97.9,97.9,95.9,95.9,89.1,84.7,0.8,3.3,1.9,2.5,5.5,3.8,3.2,4.9,6.1,2.4,85.2,79.9,84.1,98.1,95.7,84.3,62.9,34.3,93.8,100,99,92.4,74.3,41,2015
"Perojpur",100,96.9,96.9,96.4,96.4,96.9,96.9,96,92.4,100,96.9,96.9,96.4,96.4,95.9,95.9,92.9,89.3,0.9,0,0.5,1.8,1,1.4,1.5,3.6,5.2,2.7,96.2,89.5,92.1,100,99,91,75.7,49,96.2,99.5,97.1,92.9,73.8,51.4,2015
"Rajbari",100,95.7,95.7,97.3,97.3,96.8,96.8,96,88.5,100,95.7,95.7,97.3,97.3,96.8,96.8,91.7,85.8,0,0,0,1.8,3,2.4,3.2,4.8,7.5,1.7,91.9,81.7,87.1,98.6,98.1,88.1,76.7,49.5,92.4,100,100,89.5,63.8,36.2,2015
"Rajshahi",100,93.3,93.3,93.3,93.3,94.9,94.9,96.7,91.4,100,93.3,93.3,93.3,93.3,94.9,94.9,92.6,87.3,0,1,0.5,0,2,1,2.2,3.4,5.2,2.5,89,79.2,85.3,98.6,97.1,87.1,66.7,40.5,96.2,99,95.7,79,63.8,36.2,2015
"Rajshahi CC",100,100,100,100,100,100,100,95.1,95.1,100,100,100,100,100,99.4,99.4,91.2,91.2,0,0,0,1.7,3.2,2.4,0,0,0,2.7,91.4,84.2,88.5,100,99.5,97.1,87.6,71.9,98.6,98.1,98.1,94.8,88.1,71.9,2015
"Rajshahi Division",99.5,95.9,95.9,95.6,95.6,95.1,95.1,93.5,89.2,99.4,95.9,95.9,95.5,95.5,94.9,94.9,90.2,86.1,1.8,1.9,1.9,3.9,4.5,4.2,1.7,3.2,4.1,1.8,87.3,78.6,83.4,99,97.9,88.6,71.7,50.2,94.5,97.7,95.1,84.7,65.9,45.7,2015
"Rangamati",98.1,94.1,94.1,93.3,93.3,91.3,91.3,90.5,83.3,98.1,94.1,94.1,93.3,93.3,91.3,91.3,84.2,78.8,2.1,3.6,2.9,5.3,4.5,4.9,2.9,4,7.1,3.3,84.8,79.6,83.5,93.8,92.9,81.4,55.2,38.6,85.2,93.8,91,76.7,55.7,36.7,2015
"Rangpur",100,95.6,95.6,97.8,97.8,93.9,93.9,93.7,88.7,100,95.6,95.6,97.8,97.8,93.9,93.9,89.9,86,1,5.6,3.3,2,9.3,5.7,3.3,4.9,6.8,0.6,82.4,78.2,82.4,99.5,99,92.4,75.2,58.1,92.9,100,99.5,94.3,77.1,54.3,2015
"Rangpur CC",99.5,96,96,93.3,93.3,93.8,93.8,92.9,86.5,98.9,96,96,93.3,93.3,93.2,93.2,87.4,82.2,0.9,5.1,2.9,1.8,8.2,4.8,1.2,4.3,5,2.1,81.9,70.1,79,99,97.6,90,78.6,57.6,93.8,97.1,96.7,88.6,71.9,54.3,2015
"Rangpur Division",99.8,95,95,95.6,95.6,94.8,94.8,94.2,88.7,99.7,94.9,94.9,95.5,95.5,94.5,94.5,90.1,84.9,1.1,1.5,1.3,2.4,4,3.2,2.6,4.6,6.6,2.5,86.5,79.8,83.8,98.8,97.9,88.1,69.4,47.4,91.5,99.3,97.7,87.8,68.9,49.7,2015
"Rural",99.4,94.2,94.2,94.9,94.9,94.5,94.5,92.3,87.1,99.2,94,94,94.7,94.7,94,94,88.4,83.5,1.4,1.9,1.6,3.8,4.9,4.4,3,4.6,6,2.9,85.9,76.4,81.5,98.2,96.8,86.9,69.6,48.7,91.7,96.6,94.6,84.8,67.7,46.5,2015
"Sariatpur",99.5,90,90,94.5,94.5,93,93,93.7,87.1,99.5,90,90,94.5,94.5,92.3,92.3,85.1,79.2,2,0.9,1.4,3,0.9,1.9,4.5,5.8,7.9,4.4,86.7,75.7,82.3,98.6,97.1,90.5,78.6,63.3,94.3,98.1,97.6,92.4,79.5,59,2015
"Satkhira",99.5,95.6,95.6,94.6,94.6,96.1,96.1,96.6,89.7,99.5,95.6,95.6,94.6,94.6,95.6,95.6,94.6,87.7,1.8,0,1,2.8,0,1.4,2.5,5.4,7,1.5,93.3,86.3,91.6,100,98.6,90,67.6,40,96.7,100,99.5,86.2,67.1,44.8,2015
