"Source","File","Variable","Description","Programme","Module","Type"
"CBSS","CBSS","CBSS.50","Children aged 0-11 months bathed after 72 hours","Health","Newborn Care","Numeric, %"
"CBSS","CBSS","CBSS.51","Adolescents who have ever visited a health facility to receive health services","Health","Adolescent Health","Numeric, %"
"CBSS","CBSS","CBSS.52","Adolescents who have visited any health facility which has separate adolescent","Health","Adolescent Health","Numeric, %"
"CBSS","CBSS","CBSS.53","Children aged 6-59 months attended an early childhood centre/school/institution","Education","Early learning and stimulation","Numeric, %"
"CBSS","CBSS","CBSS.54","Children that did not attend an ECD centre due to lack of availability/accessibility","Education","Early learning and stimulation","Numeric, %"
"CBSS","CBSS","CBSS.55","Primary education net attendance ratio","Education","Attending Educational Institution","Numeric, %"
"CBSS","CBSS","CBSS.56","Satisfaction with primary learning- high/very high","Education","Attending Educational Institution","Numeric, %"
"CBSS","CBSS","CBSS.57","Satisfaction with  lower-secondary learning- high/very high","Education","Attending Educational Institution","Numeric, %"
"CBSS","CBSS","CBSS.58","Children started grade-I with the correct age","Education","Attending Educational Institution","Numeric, %"
"CBSS","CBSS","CBSS.59","Children who have missed more than 3 days of school in the past year","Education","Attending Educational Institution","Numeric, %"
"CBSS","CBSS","CBSS.60","Children who did not attend school due to natural disasters","Education","Attending Educational Institution","Numeric, %"
"CBSS","CBSS","CBSS.61","Primary drop-out rate","Education","Attending Educational Institution","Numeric, %"
"CBSS","CBSS","CBSS.62","Children aged 5-14 years currently not attending school among who never been to school","Education","Attending Educational Institution","Numeric, %"
"CBSS","CBSS","CBSS.63","Students attending public schools","Education","Attending Educational Institution","Numeric, %"
"CBSS","CBSS","CBSS.64","Students attending formal private schools","Education","Attending Educational Institution","Numeric, %"
"CBSS","CBSS","CBSS.65","Students attending non-formal institutions","Education","Attending Educational Institution","Numeric, %"
"CBSS","CBSS","CBSS.66","Students attending madrasa","Education","Attending Educational Institution","Numeric, %"
"CBSS","CBSS","CBSS.67","Satisfaction with pre-primary learning- high/very high","Education","Attending Educational Institution","Numeric, %"
"CBSS","CBSS","CBSS.68","Births of children under one year notified","Child Protection","Birth Registration","Numeric, %"
"CBSS","CBSS","CBSS.69","Births that were registered within 45 days","Child Protection","Birth Registration","Numeric, %"
"CBSS","CBSS","CBSS.70","Birth registration certificates seen/checked","Child Protection","Birth Registration","Numeric, %"
"CBSS","CBSS","CBSS.71","Children under one year with birth registration certificate","Child Protection","Birth Registration","Numeric, %"
"CBSS","CBSS","CBSS.72","Parents/caretakers of children whose births were not registered within 45 days were aware of the requirement","Child Protection","Birth Registration","Numeric, %"
"CBSS","CBSS","CBSS.73","Application for birth registration certificate have been submitted for unregistered children under one year","Child Protection","Birth Registration","Numeric, %"
"CBSS","CBSS","CBSS.74","Parents/caretakers of unregistered children who know how to apply for a birth registration certificate or know who can help them","Child Protection","Birth Registration","Numeric, %"
"CBSS","CBSS","CBSS.75","Parents/caretakers of unregistered children who know where and how to report a birth","Child Protection","Birth Registration","Numeric, %"
"CBSS","CBSS","CBSS.76","Parents/caretakers of unregistered children who know where and how to obtain a birth registration certificate","Child Protection","Birth Registration","Numeric, %"
"CBSS","CBSS","CBSS.77","Respondents who consider a child anyone under 18","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.78","Respondents who agree that girls should have consent while marriage is arranged","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.79","Respondents who feel child marriage has decreased in their community","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.80","Respondents that believe that marriage before 18 is acceptable","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.81","Respondents who believe that community leaders never support marriage under 18","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.82","Respondents who believe that religious leaders never support marriage under 18","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.83","Respondents who believe that neighbours never support marriage under 18","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.84","Respondents who believe that relatives never support marriage under 18","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.85","Respondents who feel there is increasing disapproval around child marriage in village","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.86","Respondents who believe increasing action against CM is being taken by government","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.87","Respondents who believe increasing action against CM is being taken by religious/community","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.88","Respondents  who state preference for girls marrying after 18 or when she is self-dependent/got a job","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.89","Respondents who believe that pressure to marry daughters before 18 has decreased in the last year","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.90","Respondents who know that there is a law against child marriage","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.91","Respondents who know that there are negative consequences of child marriage and can mention at least one","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.92","Respondents who have taken action against child marriage in at least one way in the past year","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.93","Respondents who state preference for boys marrying after 18 or when he is self-dependent/got a job","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.94","Respondents who consider child marriage as marriage of boy or girl below 18","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.95","Households where a female below 18 married in last year","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.96","Households where a male below 18 married in last year","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.97","Girls age under 18 who were enrolled in school before marriage","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.98","Girls age under 18 who discontinued studies right after marriage","Child Protection","Child Marriage","Numeric, %"
"CBSS","CBSS","CBSS.99","Parents that use negative actions to correct children","Child Protection","Violence Against Children","Numeric, %"
"CBSS","CBSS","CBSS.100","Respondents who acknowledge mistreatment of children by adults happens in the community","Child Protection","Violence Against Children","Numeric, %"
"CBSS","CBSS","CBSS.101","Respondents that would report/take action against physical and sexual abuse of children","Child Protection","Violence Against Children","Numeric, %"
"CBSS","CBSS","CBSS.102","Respondents that recognize child welfare board as a service","Child Protection","Violence Against Children","Numeric, %"
"CBSS","CBSS","CBSS.103","Respondents that recognize social workers as a service","Child Protection","Violence Against Children","Numeric, %"
"CBSS","CBSS","CBSS.104","Respondents that recognize NGOs as a service","Child Protection","Violence Against Children","Numeric, %"
"CBSS","CBSS","CBSS.105","Respondents that recognize drop in centres as a service","Child Protection","Violence Against Children","Numeric, %"
"CBSS","CBSS","CBSS.106","Respondents that recognize child affairs desk as a service","Child Protection","Violence Against Children","Numeric, %"
"CBSS","CBSS","CBSS.107","Respondents that recognize child helpline as a service","Child Protection","Violence Against Children","Numeric, %"
"CBSS","CBSS","CBSS.108","Households using Surface water","Wash","Drinking Water","Numeric, %"
"CBSS","CBSS","CBSS.109","Households using Unimproved water facility does not protect against contamination","Wash","Drinking Water","Numeric, %"
"CBSS","CBSS","CBSS.110","Households using Improved facility within 30 minutes round trip collection time","Wash","Drinking Water","Numeric, %"
"CBSS","CBSS","CBSS.111","Household using Improved facility located on premises, available when needed, and free from contamination","Wash","Drinking Water","Numeric, %"
"CBSS","CBSS","CBSS.112","Household have no access to latrine","Wash","Sanitation","Numeric, %"
"CBSS","CBSS","CBSS.113","Households which use an Unimproved facility does not separate excreta from human contact","Wash","Sanitation","Numeric, %"
"CBSS","CBSS","CBSS.114","Households which use an Improved facility which separates excreta from human contact (shared with other HH)","Wash","Sanitation","Numeric, %"
"CBSS","CBSS","CBSS.115","Households which use an Improved facility which separates excreta from human contact (private)","Wash","Sanitation","Numeric, %"
"CBSS","CBSS","CBSS.116","Households which use a Private improved facility where faecal wastes are safely disposed on site or transported and treated off-site; plus a handwashing facility with soap and water","Wash","Sanitation","Numeric, %"
"CBSS","CBSS","CBSS.117","Percentage of households with a child under 5 which have access to a latrine which have soap available in the household and in which the mothers/caregivers can recite three of the five key handwashing times","Wash","Handwashing","Numeric, %"
"CBSS","CBSS","CBSS.118","Percentage of households with soap and water available inside the latrine or within 5m of the latrine","Wash","Handwashing","Numeric, %"
"CBSS","CBSS","CBSS.119","Percentage of observed latrine visits which were followed by handwashing with soap","Wash","Handwashing","Numeric, %"
"CBSS","CBSS","CBSS.120","Percentage of observed latrine visits which were followed by effective handwashing (with both hands, with soap for at least 6 seconds)","Wash","Handwashing","Numeric, %"
"CBSS","CBSS","CBSS.121","Young people aged 15-24 years with comprehensive knowledge on HIV/AIDS","HIV / AIDS","HIV/AIDS","Numeric, %"
"CBSS","CBSS","CBSS.122","Young people aged 15-24 years who know that condom use can prevent AIDS","HIV / AIDS","HIV/AIDS","Numeric, %"
"CBSS","CBSS","CBSS.123","Young people aged 15-24 years who know people do not get the AIDS virus from mosquito bites","HIV / AIDS","HIV/AIDS","Numeric, %"
"CBSS","CBSS","CBSS.124","Young people aged 15-24 years who know having one uninfected sex partner who has no other sex partner reduces the chance of getting AIDS virus","HIV / AIDS","HIV/AIDS","Numeric, %"
"CBSS","CBSS","CBSS.125","Young people aged 15-24 years who know people do not get the AIDS virus by sharing food with AIDS infected person","HIV / AIDS","HIV/AIDS","Numeric, %"
"CBSS","CBSS","CBSS.126","Young people aged 15-24 years who know that people can getting the AIDS virus by using unsterilized needle or syringe","HIV / AIDS","HIV/AIDS","Numeric, %"
"CBSS","CBSS","CBSS.127","Young people aged 15-24 years who know people can getting the AIDS virus through unsafe blood transfusion","HIV / AIDS","HIV/AIDS","Numeric, %"
"CBSS","CBSS","CBSS.128","Young people aged 15-24 years who know the possibility of AIDS virus of a healthy-looking person","HIV / AIDS","HIV/AIDS","Numeric, %"
"CBSS","CBSS","CBSS.129","Percentage of adults (18+) who know that Ward shova exists for their ward","Ward shova","Household Member Information","Numeric, %"
"CBSS","CBSS","CBSS.130","Children related issues raised and discussed during Ward shova","Ward shova","Household Member Information","Numeric, %"
"CBSS","CBSS","CBSS.131","Knowledge about and attendance in Ward shova (by household members 18)","Ward shova","Household Member Information","Numeric, %"
"CBSS","CBSS","CBSS.132","Percentage of adolescents participated in peer group meeting","Ward shova","Household Member Information","Numeric, %"
