"Source","File","Variable","Name"
"MICS3","ch.sav","BF3A","Child received vitamin, mineral supplements or medicine"
"MICS3","ch.sav","BF3B","Child received plain water"
"MICS3","ch.sav","BF3C","Child received sweetened water or juice"
"MICS3","ch.sav","BF3D","Child received oral rehydration solution"
"MICS3","ch.sav","BF3E","Child received infant formula"
"MICS3","ch.sav","BF3F","Child received milk"
"MICS3","ch.sav","BF3G","Child received other liquids"
"MICS3","ch.sav","BF3H","Child received solid or mushy food"
"MICS3","ch.sav","BF5","Time ate solid, semisolid or soft food other than liquids"
"MICS3","ch.sav","CA1","Child had diarrhoea in last 2 weeks"
"MICS3","ch.sav","CA2A","Drank fluid made from special packet (ORS)"
"MICS3","ch.sav","CA2B","Government-recommended homemade fluid"
"MICS3","ch.sav","CA2C","Pre-packaged ORS fluid for diarrhoea"
"MICS3","ch.sav","CA3","Child drank less or more during illness"
"MICS3","ch.sav","CA4","Child ate less or more during illness"
"MICS3","ch.sav","CA5","Child ill with cough in last 2 weeks"
"MICS3","ch.sav","CA6","Difficulty breathing during illness with cough"
"MICS3","ch.sav","CA7","Symptoms due to problem in chest or blocked nose"
"MICS3","ch.sav","CA8","Sought advice or teatment for illness"
"MICS3","ch.sav","CA9A","Place sought care: Govt Hospital/Health centre"
"MICS3","ch.sav","CA9D","Place sought care: Village health worker/HA"
"MICS3","ch.sav","CA9E","Place sought care: Mobile/outreach clinic"
"MICS3","ch.sav","CA9H","Place sought care: Other public source"
"MICS3","ch.sav","CA9I","Place sought care: Private hospital/clinic"
"MICS3","ch.sav","CA9J","Place sought care: Private physician"
"MICS3","ch.sav","CA9K","Place sought care: Private pharmacy"
"MICS3","ch.sav","CA9O","Place sought care: Other private medical"
"MICS3","ch.sav","CA9P","Place sought care: Relative or friend"
"MICS3","ch.sav","CA9Q","Place sought care: Shop"
"MICS3","ch.sav","CA9R","Place sought care: Traditional practitioner"
"MICS3","ch.sav","CA9S","Place sought care: NGO hospital/clinic"
"MICS3","ch.sav","CA9X","Place sought care: Other"
"MICS3","ch.sav","CA10","Given medicine to treat this illness"
"MICS3","ch.sav","CA11A","Antibiotic"
"MICS3","ch.sav","CA11P","Paracetamal/Panadol/Acetaminophen"
"MICS3","ch.sav","CA11Q","Aspirin"
"MICS3","ch.sav","CA11R","Ibupropfen"
"MICS3","ch.sav","CA11X","Other"
"MICS3","ch.sav","CA11Z","DK"
"MICS3","ch.sav","CA13","What was done to dispose of the stools"
"MICS3","ch.sav","CA14A","Symptoms: Child not able to drink or breastfeed"
"MICS3","ch.sav","CA14B","Symptoms: Child becomes sicker"
"MICS3","ch.sav","CA14C","Symptoms: Child develops a fever"
"MICS3","ch.sav","CA14D","Symptoms: Child has faster breathing"
"MICS3","ch.sav","CA14E","Symptoms: Child has difficult breathing"
"MICS3","ch.sav","CA14F","Symptoms: Child has blood in stool"
"MICS3","ch.sav","CA14G","Symptoms: Child is drinking poorly"
"MICS3","ch.sav","CA14H","Symptoms: Animal bite"
"MICS3","ch.sav","CA14I","Symptoms: Snake bite"
"MICS3","ch.sav","CA14J","Symptoms: Drowing"
"MICS3","ch.sav","CA14X","Symptoms: Other"
"MICS3","ch.sav","IM1","Vaccination card for child"
"MICS3","ch.sav","IM2D","Day of BCG immunization"
"MICS3","ch.sav","IM2M","Month of BCG immunization"
"MICS3","ch.sav","IM2Y","Year of BCG immunization"
"MICS3","ch.sav","IM4AD","Day of DPT1 immunization"
"MICS3","ch.sav","IM4AM","Month of DPT1 immunization"
"MICS3","ch.sav","IM4AY","Year of DPT1 immunization"
"MICS3","ch.sav","IM4BD","Day of DPT2 immunization"
"MICS3","ch.sav","IM4BM","Month of DPT2 immunization"
"MICS3","ch.sav","IM4BY","Year of DPT2 immunization"
"MICS3","ch.sav","IM4CD","Day of DPT3 immunization"
"MICS3","ch.sav","IM4CM","Month of DPT3 immunization"
"MICS3","ch.sav","IM4CY","Year of DPT3 immunization"
"MICS3","ch.sav","IM21AD","Day of Hepatitis B1 immunization"
"MICS3","ch.sav","IM21AM","Month of Hepatitis B1 immunization"
"MICS3","ch.sav","IM21AY","Year of Hepatitis B1 immunization"
"MICS3","ch.sav","IM21BD","Day of Hepatitis B2 immunization"
"MICS3","ch.sav","IM21BM","month of Hepatitis B2 immunization"
"MICS3","ch.sav","IM21BY","Year of Hepatitis B2 immunization"
"MICS3","ch.sav","IM21CD","Day of Hepatitis B3 immunization"
"MICS3","ch.sav","IM21CM","Month of Hepatitis B3 immunization"
"MICS3","ch.sav","IM21CY","Year of Hepatitis B4 immunization"
"MICS3","ch.sav","IM3AD","Day of OPV0 immunization"
"MICS3","ch.sav","IM3AM","Month of OPV0 immunization"
"MICS3","ch.sav","IM3AY","Year of OPV0 immunization"
"MICS3","ch.sav","IM3BD","Day of OPV1 immunization"
"MICS3","ch.sav","IM3BM","Month of OPV1 immunization"
"MICS3","ch.sav","IM3BY","Year of OPV1 immunization"
"MICS3","ch.sav","IM3CD","Day of OPV2 immunization"
"MICS3","ch.sav","IM3CM","Month of OPV2 immunization"
"MICS3","ch.sav","IM3CY","Year of OPV2 immunization"
"MICS3","ch.sav","IM3DD","Day of OPV3 immunization"
"MICS3","ch.sav","IM3DM","Month of OPV3 immunization"
"MICS3","ch.sav","IM3DY","Year of OPV3 immunization"
"MICS3","ch.sav","IM3ED","Day of OPV4 immunization"
"MICS3","ch.sav","IM3EM","Month of OPV4 immunization"
"MICS3","ch.sav","IM3EY","Year of OPV4 immunization"
"MICS3","ch.sav","IM6D","Day measles or MMR immunization"
"MICS3","ch.sav","IM6M","Month Measles or MMR immunization"
"MICS3","ch.sav","IM6Y","Year of Measles or MMR immunization"
"MICS3","ch.sav","IM8AD","Day of Vitamin A (1)"
"MICS3","ch.sav","IM8AM","Month of Vitamin A (1)"
"MICS3","ch.sav","IM8AY","Year of Vitamin A (1)"
"MICS3","ch.sav","IM8BD","Day of Vitamin A (2)"
"MICS3","ch.sav","IM8BM","Month of Vitamin A (2)"
"MICS3","ch.sav","IM8BY","Year of Vitamin A (2)"
"MICS3","ch.sav","IM9","Child received any other vaccinations"
"MICS3","ch.sav","IM10","Child ever received any vaccinations"
"MICS3","ch.sav","IM11","Child ever given BCG vaccination"
"MICS3","ch.sav","IM12","Child ever given Polio vaccination"
"MICS3","ch.sav","IM13","Polio first given just after birth or later"
"MICS3","ch.sav","IM14","Times child given Polio vaccination"
"MICS3","ch.sav","IM15","Child ever given DPT vaccination"
"MICS3","ch.sav","IM16","Times child given DPT vaccination"
"MICS3","ch.sav","IM17","Child ever given Measles or MMR  vaccination"
"MICS3","ch.sav","IM19A","Child participated in national immunization day A"
"MICS3","ch.sav","IM19B","Child participated in Vitamin A Campaign B"
"MICS3","ch.sav","IM19C","Child participated in Measles campaign C"
"MICS3","ch.sav","HL4","Sex"
"MICS3","ch.sav","ED3A","Highest level of school attended"
"MICS3","ch.sav","ED3B","Highest class at level"
"MICS3","ch.sav","HH3","Interviewer number"
"MICS3","ch.sav","HH4","Supervisor Number"
"MICS3","ch.sav","HH5D","Day of interview"
"MICS3","ch.sav","HH5M","Month of interview"
"MICS3","ch.sav","HH5Y","Year of interview"
"MICS3","ch.sav","HH6","Area"
"MICS3","ch.sav","HH7","Division"
"MICS3","ch.sav","HH7A","District"
"MICS3","ch.sav","HH7B","Sub-district"
"MICS3","ch.sav","HH9","Result of HH interview"
"MICS3","ch.sav","HH10","Respondent HH questionnaire"
"MICS3","ch.sav","HH11","Number of household members"
"MICS3","ch.sav","HH12","Total eligible women"
"MICS3","ch.sav","HH13","Women interviews completed"
"MICS3","ch.sav","HH14","Total children under 5"
"MICS3","ch.sav","HH15","Child interviews completed"
"MICS3","ch.sav","HH16","Data entry clerk"
"MICS3","ch.sav","WS1","Main source of drinking water"
"MICS3","ch.sav","WS2","Main source of water used for other purposes (if bottled wat"
"MICS3","ch.sav","WS3","Time to get water and come back"
"MICS3","ch.sav","WS4","Person fetching water"
"MICS3","ch.sav","WS5","Treat water to make safer for drinking"
"MICS3","ch.sav","WS6A","Boil"
"MICS3","ch.sav","WS6B","Add bleach/chlorine"
"MICS3","ch.sav","WS6C","Strain it through a cloth"
"MICS3","ch.sav","WS6D","Use water filter"
"MICS3","ch.sav","WS6F","Let it stand and settle"
"MICS3","ch.sav","WS6G","Alum"
"MICS3","ch.sav","WS6X","Other"
"MICS3","ch.sav","WS6Z","DK"
"MICS3","ch.sav","WS6_1","Heard of arsenic in water"
"MICS3","ch.sav","WS6_2A","Black, white or red spot in body"
"MICS3","ch.sav","WS6_2B","Hand and feet become rough"
"MICS3","ch.sav","WS6_2C","Legs swells up"
"MICS3","ch.sav","WS6_2D","Losing the feelings of hand and legs"
"MICS3","ch.sav","WS6_2E","Sore over hand and leg"
"MICS3","ch.sav","WS6_2X","Others"
"MICS3","ch.sav","WS6_2Z","Nothing/DK"
"MICS3","ch.sav","WS6_3A","Using water from arsenic free TW"
"MICS3","ch.sav","WS6_3B","Using boiled pond/river/canal water"
"MICS3","ch.sav","WS6_3C","Using rain water"
"MICS3","ch.sav","WS6_3D","Using pond/sand filter water"
"MICS3","ch.sav","WS6_3E","Using SIDKO filter"
"MICS3","ch.sav","WS6_3X","Others"
"MICS3","ch.sav","WS6_3Z","Nothing/DK"
"MICS3","ch.sav","WS6_4","TW tested for arsenic"
"MICS3","ch.sav","WS7","Kind of toilet facility"
"MICS3","ch.sav","WS8","Toilet facility shared"
"MICS3","ch.sav","WS9","Households using this toilet facility"
"MICS3","ch.sav","WS9A","Hand washing after defication"
"MICS3","ch.sav","HC1A","Religion of head"
"MICS3","ch.sav","HC1C","Ethnic group of head"
"MICS3","ch.sav","HC2","Number of rooms for sleeping"
"MICS3","ch.sav","HC3","Main material of floor"
"MICS3","ch.sav","HC4","Main material of roof"
"MICS3","ch.sav","HC5","Main material of wall"
"MICS3","ch.sav","HC6","Type of fuel using for cooking"
"MICS3","ch.sav","HC7","Food cooked on stove or open fire"
"MICS3","ch.sav","HC7A","Does the fire stove have a chimney or a hood"
"MICS3","ch.sav","HC8","Cooking location"
"MICS3","ch.sav","HC9A","Electricity"
"MICS3","ch.sav","HC9B","Radio"
"MICS3","ch.sav","HC9C","Television"
"MICS3","ch.sav","HC9D","Mobile phone"
"MICS3","ch.sav","HC9E","Non-mobile phone"
"MICS3","ch.sav","HC9F","Refrigerator"
"MICS3","ch.sav","HC9G","Electric fan"
"MICS3","ch.sav","HC9H","Computer"
"MICS3","ch.sav","HC9J","AC"
"MICS3","ch.sav","HC9I","Washing machine"
"MICS3","ch.sav","HC10A","Watch"
"MICS3","ch.sav","HC10B","Bicycle"
"MICS3","ch.sav","HC10C","Motorcycle or scooter"
"MICS3","ch.sav","HC10D","Animal-drawn cart"
"MICS3","ch.sav","HC10E","Car or truck"
"MICS3","ch.sav","HC10F","Boat with motor"
"MICS3","ch.sav","HC10G","Sofa"
"MICS3","ch.sav","HC10H","Rickshaw Van"
"MICS3","ch.sav","HC11A","Did any under 18 children get injured"
"MICS3","ch.sav","HC11BAB","Fall_Boy"
"MICS3","ch.sav","HC11BAG","Fall_Girl"
"MICS3","ch.sav","HC11BBB","Burn_Boy"
"MICS3","ch.sav","HC11BBG","Burn_Girl"
"MICS3","ch.sav","HC11BCB","Accidental poisoning_Boy"
"MICS3","ch.sav","HC11BCG","Accidental poisoning_Girl"
"MICS3","ch.sav","HC11BDB","Animal/snake/insect_Boy"
"MICS3","ch.sav","HC11BDG","Animal/snake/insect_Girl"
"MICS3","ch.sav","HC11BEB","Rd. Accident_Boy"
"MICS3","ch.sav","HC11BEG","Rd. Accident_Girl"
"MICS3","ch.sav","HC11BFB","Drowned_Boy"
"MICS3","ch.sav","HC11BFG","Drowned_Girl"
"MICS3","ch.sav","HC11BGB","Acid victim_Boy"
"MICS3","ch.sav","HC11BGG","Acid victim_Girl"
"MICS3","ch.sav","HC11BXB","Other_Boy"
"MICS3","ch.sav","HC11BXG","Other_Girl"
"MICS3","ch.sav","HC11CAB","Recovered_Boy"
"MICS3","ch.sav","HC11CAG","Recovered_Girl"
"MICS3","ch.sav","HC11CBB","Still suffering_Boy"
"MICS3","ch.sav","HC11CBG","Still suffering_Girl"
"MICS3","ch.sav","HC11CCB","Died_Boy"
"MICS3","ch.sav","HC11CCG","Died_Girl"
"MICS3","ch.sav","HC11D","Was there any marriage in the household"
"MICS3","ch.sav","HC15","Duration of living in the slum area in year"
"MICS3","ch.sav","HC15A","Do you or someone in this household own or rent this dwellin"
"MICS3","ch.sav","HC15B","Do you or someone in this household have a title deed for th"
"MICS3","ch.sav","HC15CA","Certificate of occupation (or adjudication certificate)"
"MICS3","ch.sav","HC15CB","Property tax certification"
"MICS3","ch.sav","HC15CC","Utility bills"
"MICS3","ch.sav","HC15CX","Other"
"MICS3","ch.sav","HC15CY","None/No document"
"MICS3","ch.sav","HC15D","Do you have a written rental contract for this dwelling"
"MICS3","ch.sav","HC15EA","Informal agreement (written)"
"MICS3","ch.sav","HC15EB","Verbal agreement (no document)"
"MICS3","ch.sav","HC15EC","Occupied rent free with knowledge of the owner"
"MICS3","ch.sav","HC15ED","Occupied rent free without knowledge of the owner"
"MICS3","ch.sav","HC15EX","Other"
"MICS3","ch.sav","HC15EY","None/No document"
"MICS3","ch.sav","HC15F","Do you feel secure from eviction fromthis dwelling"
"MICS3","ch.sav","HC15G","Have you been evicted from your home in the 5 past years"
"MICS3","ch.sav","HC15HA","Landslide area"
"MICS3","ch.sav","HC15HB","Flood-prone area"
"MICS3","ch.sav","HC15HC","River bank"
"MICS3","ch.sav","HC15HD","Steep hill"
"MICS3","ch.sav","HC15HE","Garbage mountain/pile"
"MICS3","ch.sav","HC15HF","Industrial pollution area"
"MICS3","ch.sav","HC15HG","Railroad"
"MICS3","ch.sav","HC15HY","None of the above"
"MICS3","ch.sav","HC15IA","Cracks/openings in walls"
"MICS3","ch.sav","HC15IB","No windows"
"MICS3","ch.sav","HC15IC","Windows with broken glass/no glass"
"MICS3","ch.sav","HC15ID","Visible holes in the roof"
"MICS3","ch.sav","HC15IE","Incomplete roof"
"MICS3","ch.sav","HC15IF","Insecure door"
"MICS3","ch.sav","HC15IG","Squartter (Jhupri)"
"MICS3","ch.sav","HC15IY","None of the above"
"MICS3","ch.sav","HC15JA","Very narrow passage between house intead of road"
"MICS3","ch.sav","HC15JB","Too many power cables connecting to neighborhood's"
"MICS3","ch.sav","HC15JY","None of the above"
"MICS3","ch.sav","chweight","Children's sample weight"
"MICS3","ch.sav","wlthscor","Wealth index score"
"MICS3","ch.sav","wlthind5","Wealth index quintiles"
"MICS3","ch.sav","cmcdoic","Date of interview child (CMC)"
"MICS3","ch.sav","cdob","Date of birth (CMC)"
"MICS3","ch.sav","cage","Age (months)"
"MICS3","ch.sav","cage_6","Age"
"MICS3","ch.sav","cage_11","Age"
"MICS3","ch.sav","melevel2","Mother's education"
"MICS3","ch.sav","melevel","Mother's education"
"MICS3","hh.sav","HH1","Cluster number"
"MICS3","hh.sav","HH2","Household number"
"MICS3","hh.sav","HH3","Interviewer number"
"MICS3","hh.sav","HH4","Supervisor Number"
"MICS3","hh.sav","HH5D","Day of interview"
"MICS3","hh.sav","HH5M","Month of interview"
"MICS3","hh.sav","HH5Y","Year of interview"
"MICS3","hh.sav","HH6","Area"
"MICS3","hh.sav","HH7","Division"
"MICS3","hh.sav","HH7A","District"
"MICS3","hh.sav","HH7B","Sub-district"
"MICS3","hh.sav","HH9","Result of HH interview"
"MICS3","hh.sav","HH10","Respondent HH questionnaire"
"MICS3","hh.sav","HH11","Number of household members"
"MICS3","hh.sav","HH12","Total eligible women"
"MICS3","hh.sav","HH13","Women interviews completed"
"MICS3","hh.sav","HH14","Total children under 5"
"MICS3","hh.sav","HH15","Child interviews completed"
"MICS3","hh.sav","HH16","Data entry clerk"
"MICS3","hh.sav","TOHL6","Total number of Women 15-49"
"MICS3","hh.sav","TOHL7","Total number of Children 5-14"
"MICS3","hh.sav","TOHL8","Total number of children Under 5 years"
"MICS3","hh.sav","WS1","Main source of drinking water"
"MICS3","hh.sav","WS2","Main source of water used for other purposes (if bottled wat"
"MICS3","hh.sav","WS3","Time to get water and come back"
"MICS3","hh.sav","WS4","Person fetching water"
"MICS3","hh.sav","WS5","Treat water to make safer for drinking"
"MICS3","hh.sav","WS6A","Boil"
"MICS3","hh.sav","WS6B","Add bleach/chlorine"
"MICS3","hh.sav","WS6C","Strain it through a cloth"
"MICS3","hh.sav","WS6D","Use water filter"
"MICS3","hh.sav","WS6F","Let it stand and settle"
"MICS3","hh.sav","WS6G","Alum"
"MICS3","hh.sav","WS6X","Other"
"MICS3","hh.sav","WS6Z","DK"
"MICS3","hh.sav","WS6_1","Heard of arsenic in water"
"MICS3","hh.sav","WS6_2A","Black, white or red spot in body"
"MICS3","hh.sav","WS6_2B","Hand and feet become rough"
"MICS3","hh.sav","WS6_2C","Legs swells up"
"MICS3","hh.sav","WS6_2D","Losing the feelings of hand and legs"
"MICS3","hh.sav","WS6_2E","Sore over hand and leg"
"MICS3","hh.sav","WS6_2X","Others"
"MICS3","hh.sav","WS6_2Z","Nothing/DK"
"MICS3","hh.sav","WS6_3A","Using water from arsenic free TW"
"MICS3","hh.sav","WS6_3B","Using boiled pond/river/canal water"
"MICS3","hh.sav","WS6_3C","Using rain water"
"MICS3","hh.sav","WS6_3D","Using pond/sand filter water"
"MICS3","hh.sav","WS6_3E","Using SIDKO filter"
"MICS3","hh.sav","WS6_3X","Others"
"MICS3","hh.sav","WS6_3Z","Nothing/DK"
"MICS3","hh.sav","WS6_4","TW tested for arsenic"
"MICS3","hh.sav","WS7","Kind of toilet facility"
"MICS3","hh.sav","WS8","Toilet facility shared"
"MICS3","hh.sav","WS9","Households using this toilet facility"
"MICS3","hh.sav","WS9A","Hand washing after defication"
"MICS3","hh.sav","HC1A","Religion of head"
"MICS3","hh.sav","HC1C","Ethnic group of head"
"MICS3","hh.sav","HC2","Number of rooms for sleeping"
"MICS3","hh.sav","HC3","Main material of floor"
"MICS3","hh.sav","HC4","Main material of roof"
"MICS3","hh.sav","HC5","Main material of wall"
"MICS3","hh.sav","HC6","Type of fuel using for cooking"
"MICS3","hh.sav","HC7","Food cooked on stove or open fire"
"MICS3","hh.sav","HC7A","Does the fire stove have a chimney or a hood"
"MICS3","hh.sav","HC8","Cooking location"
"MICS3","hh.sav","HC9A","Electricity"
"MICS3","hh.sav","HC9B","Radio"
"MICS3","hh.sav","HC9C","Television"
"MICS3","hh.sav","HC9D","Mobile phone"
"MICS3","hh.sav","HC9E","Non-mobile phone"
"MICS3","hh.sav","HC9F","Refrigerator"
"MICS3","hh.sav","HC9G","Electric fan"
"MICS3","hh.sav","HC9H","Computer"
"MICS3","hh.sav","HC9J","AC"
"MICS3","hh.sav","HC9I","Washing machine"
"MICS3","hh.sav","HC10A","Watch"
"MICS3","hh.sav","HC10B","Bicycle"
"MICS3","hh.sav","HC10C","Motorcycle or scooter"
"MICS3","hh.sav","HC10D","Animal-drawn cart"
"MICS3","hh.sav","HC10E","Car or truck"
"MICS3","hh.sav","HC10F","Boat with motor"
"MICS3","hh.sav","HC10G","Sofa"
"MICS3","hh.sav","HC10H","Rickshaw Van"
"MICS3","hh.sav","HC11A","Did any under 18 children get injured"
"MICS3","hh.sav","HC11BAB","Fall_Boy"
"MICS3","hh.sav","HC11BAG","Fall_Girl"
"MICS3","hh.sav","HC11BBB","Burn_Boy"
"MICS3","hh.sav","HC11BBG","Burn_Girl"
"MICS3","hh.sav","HC11BCB","Accidental poisoning_Boy"
"MICS3","hh.sav","HC11BCG","Accidental poisoning_Girl"
"MICS3","hh.sav","HC11BDB","Animal/snake/insect_Boy"
"MICS3","hh.sav","HC11BDG","Animal/snake/insect_Girl"
"MICS3","hh.sav","HC11BEB","Rd. Accident_Boy"
"MICS3","hh.sav","HC11BEG","Rd. Accident_Girl"
"MICS3","hh.sav","HC11BFB","Drowned_Boy"
"MICS3","hh.sav","HC11BFG","Drowned_Girl"
"MICS3","hh.sav","HC11BGB","Acid victim_Boy"
"MICS3","hh.sav","HC11BGG","Acid victim_Girl"
"MICS3","hh.sav","HC11BXB","Other_Boy"
"MICS3","hh.sav","HC11BXG","Other_Girl"
"MICS3","hh.sav","HC11CAB","Recovered_Boy"
"MICS3","hh.sav","HC11CAG","Recovered_Girl"
"MICS3","hh.sav","HC11CBB","Still suffering_Boy"
"MICS3","hh.sav","HC11CBG","Still suffering_Girl"
"MICS3","hh.sav","HC11CCB","Died_Boy"
"MICS3","hh.sav","HC11CCG","Died_Girl"
"MICS3","hh.sav","HC11D","Was there any marriage in the household"
"MICS3","hh.sav","HC15","Duration of living in the slum area in year"
"MICS3","hh.sav","HC15A","Do you or someone in this household own or rent this dwellin"
"MICS3","hh.sav","HC15B","Do you or someone in this household have a title deed for th"
"MICS3","hh.sav","HC15CA","Certificate of occupation (or adjudication certificate)"
"MICS3","hh.sav","HC15CB","Property tax certification"
"MICS3","hh.sav","HC15CC","Utility bills"
"MICS3","hh.sav","HC15CX","Other"
"MICS3","hh.sav","HC15CY","None/No document"
"MICS3","hh.sav","HC15D","Do you have a written rental contract for this dwelling"
"MICS3","hh.sav","HC15EA","Informal agreement (written)"
"MICS3","hh.sav","HC15EB","Verbal agreement (no document)"
"MICS3","hh.sav","HC15EC","Occupied rent free with knowledge of the owner"
"MICS3","hh.sav","HC15ED","Occupied rent free without knowledge of the owner"
"MICS3","hh.sav","HC15EX","Other"
"MICS3","hh.sav","HC15EY","None/No document"
"MICS3","hh.sav","HC15F","Do you feel secure from eviction fromthis dwelling"
"MICS3","hh.sav","HC15G","Have you been evicted from your home in the 5 past years"
"MICS3","hh.sav","HC15HA","Landslide area"
"MICS3","hh.sav","HC15HB","Flood-prone area"
"MICS3","hh.sav","HC15HC","River bank"
"MICS3","hh.sav","HC15HD","Steep hill"
"MICS3","hh.sav","HC15HE","Garbage mountain/pile"
"MICS3","hh.sav","HC15HF","Industrial pollution area"
"MICS3","hh.sav","HC15HG","Railroad"
"MICS3","hh.sav","HC15HY","None of the above"
"MICS3","hh.sav","HC15IA","Cracks/openings in walls"
"MICS3","hh.sav","HC15IB","No windows"
"MICS3","hh.sav","HC15IC","Windows with broken glass/no glass"
"MICS3","hh.sav","HC15ID","Visible holes in the roof"
"MICS3","hh.sav","HC15IE","Incomplete roof"
"MICS3","hh.sav","HC15IF","Insecure door"
"MICS3","hh.sav","HC15IG","Squartter (Jhupri)"
"MICS3","hh.sav","HC15IY","None of the above"
"MICS3","hh.sav","HC15JA","Very narrow passage between house intead of road"
"MICS3","hh.sav","HC15JB","Too many power cables connecting to neighborhood's"
"MICS3","hh.sav","HC15JY","None of the above"
"MICS3","hh.sav","SI1","Salt iodization test outcome"
"MICS3","hh.sav","hhweight","Household sample weight"
"MICS3","hh.sav","wlthscor","Wealth index score"
"MICS3","hh.sav","wlthind5","Wealth index quintiles"
"MICS3","hh.sav","helevel","Education of household head"
"MICS3","hh.sav","helevel2","Education of household head"
"MICS3","hh.sav","hhsex","Sex of household head"
"MICS3","hl.sav","HH1","Cluster number"
"MICS3","hl.sav","HH2","Household number"
"MICS3","hl.sav","HL1","Line number"
"MICS3","hl.sav","LN","Line number"
"MICS3","hl.sav","HL3","Relationship to the head"
"MICS3","hl.sav","HL4","Sex"
"MICS3","hl.sav","HL5","Age"
"MICS3","hl.sav","HL6","Line number of eligible women"
"MICS3","hl.sav","HL7","Line number of mother/caretaker for child labor module"
"MICS3","hl.sav","HL8","Line number of mother/caretaker for child health module"
"MICS3","hl.sav","HL9","Mother alive"
"MICS3","hl.sav","HL10","Mother line number in HH"
"MICS3","hl.sav","HL11","Father alive"
"MICS3","hl.sav","HL12","Father line number in HH"
