"","variable","description"
"173","hv128","NA - Education in single years - previous school year"
"174","hv129","NA - School attendance status"
"175","hv140","Member has a birth certificate"
"176","idxh4","Index to Household Schedule"
"177","sh08","Current marital status"
"178","sh13","Currently working"
"179","sh18","Eligible for height, weight and anemia tests: Woman"
"180","sh19","Eligible for blood glucose and blood pressure tests: Woman"
"181","sh20","Eligible for height, weight,blood glucose and blood pressure tests: Woman"
"182","sh21","Eligible for height and weight tests: Man"
"183","sh22","Eligible for height,weight,blood glucose and blood pressure tests:Man"
"184","ha0","Index to Household Schedule"
"185","ha1","Woman's age in years"
"186","ha2","Woman's weight in kilograms (1 decimal)"
"187","ha3","Woman's height in centimeters (1 decimal)"
"188","ha4","Height/Age percentile"
"189","ha5","Height/Age standard deviation"
"190","ha6","Height/Age percent ref. median"
"191","ha11","Weight/Height standard deviation (DHS)"
"192","ha12","Weight/Height percent ref. median (DHS)"
"193","ha12a","Weight/Height percent ref. median (Fog)"
"194","ha12b","Weight/Height percent ref. median (WHO)"
"195","ha13","Result of measurement - height/weight"
"196","ha32","Date of birth (CMC)"
"197","ha33","Completeness of HA32 information"
"198","ha35","NA - Smoking (cigarettes in last 24 hours)"
"199","ha40","Body Mass Index"
"200","ha41","Rohrer's index"
"201","ha50","NA - Under age 18"
"202","ha51","NA - Line number of parent/caretaker"
"203","ha52","Read consent statement - hemoglobin"
"204","ha53","Hemoglobin level (g/dl - 1 decimal)"
"205","ha54","Currently pregnant"
"206","ha55","Result of measurement - hemoglobin"
"207","ha56","Hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"208","ha57","Anemia level"
"209","ha58","NA - Agrees to referral - anemia"
"210","ha60","NA - Marital status"
"211","ha61","NA - Read consent statement - HIV"
"212","ha62","Bar code for HIV blood sample"
"213","ha63","NA - Result of measurement - HIV"
"214","ha64","NA - Consent for additional tests"
"215","ha65","Result of woman's individual interview"
"216","ha66","Woman's highest educational level"
"217","ha67","Woman's highest year of education"
"218","ha68","Woman's highest educational level (questionnaire configuration)"
"219","ha69","NA - HIV weight (6 decimals)"
"220","ha70","NA - Interviewer that took blood for HIV testing"
"221","hc0","Index to Household Schedule"
"222","hc1","Child's age in months"
"223","hc2","Child's weight in kilograms (1 decimal)"
"224","hc3","Child's height in centimeters (1 decimal)"
"225","hc4","Height/Age percentile"
"226","hc5","Height/Age standard deviation"
"227","hc6","Height/Age percent of ref. median"
"228","hc7","Weight/Age percentile"
"229","hc8","Weight/Age standard deviation"
"230","hc9","Weight/Age percent of ref. median"
"231","hc10","Weight/Height percentile"
"232","hc11","Weight/Height standard deviation"
"233","hc12","Weight/Height percent of ref. median"
"234","hc13","Result of measurement - height/weight"
"235","hc15","Height: lying or standing"
"236","hc16","Day of birth"
"237","hc17","Date measured (day)"
"238","hc18","Date measured (month)"
"239","hc19","Date measured (year)"
"240","hc27","Sex"
"241","hc30","Month of birth"
"242","hc31","Year of birth"
"243","hc32","Date of birth (CMC)"
"244","hc33","Completeness of HC32 information"
"245","hc51","Line number of parent/caretaker"
"246","hc52","Read consent statement - hemoglobin"
"247","hc53","Hemoglobin level (g/dl - 1 decimal)"
"248","hc55","Result of measurement - hemoglobin"
"249","hc56","Hemoglobin level adjusted for altitude (g/dl - 1 decimal)"
"250","hc57","Anemia level"
"251","hc58","NA - Agrees to referral - anemia"
"252","hc60","Mother's line number (woman's questionnaire)"
"253","hc61","Mother's highest educational level"
"254","hc62","Mother's highest year of education"
"255","hc63","Preceding birth interval (months)"
"256","hc64","Birth order number"
"257","shb13","NA - Result of measurement: height-weight"
"258","hc68","Mother's highest educational level (questionnaire configuration)"
"259","hc70","Height/Age standard deviation (new WHO)"
"260","hc71","Weight/Age standard deviation (new WHO)"
"261","hc72","Weight/Height standard deviation (new WHO)"
"262","hc73","BMI standard deviation (new WHO)"
"263","hb0","Index to Household Schedule"
"264","hb1","Man's age in years"
"265","hb2","Man's weight in kilograms (1 decimal)"
"266","hb3","Man's height in centimeters (1 decimal)"
"267","hb4","Height/Age percentile"
"268","hb5","Height/Age standard deviation"
"269","hb6","Height/Age percent ref. median"
"270","hb11","Weight/Height standard deviation (DHS)"
"271","hb12","Weight/Height percent ref. median (DHS)"
"272","hb12a","Weight/Height percent ref. median (Fog)"
"273","hb12b","Weight/Height percent ref. median (WHO)"
"274","hb13","Result of measurement - height/weight"
"275","hb32","Date of birth (CMC)"
"276","hb33","Completeness of HB32 information"
"277","hb35","NA - Smoking (cigarettes in last 24 hours)"
"278","hb40","Body Mass Index"
"279","hb41","Rohrer's index"
"280","hb50","NA - Under age 18"
"281","hb51","NA - Line number of parent/caretaker"
"282","hb52","NA - Read consent statement - hemoglobin"
"283","hb53","NA - Hemoglobin level (g/dl - 1 decimal)"
"284","hb55","NA - Result of measurement - hemoglobin"
"285","hb56","NA - Hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)"
"286","hb57","NA - Anemia level"
"287","hb58","NA - Agrees to referral - anemia"
"288","hb60","NA - Marital status"
"289","hb61","NA - Read consent statement - HIV"
"290","hb62","Bar code for HIV blood sample"
"291","hb63","NA - Result of measurement - HIV"
"292","hb64","NA - Consent for additional tests"
"293","hb65","Result of man's individual interview"
"294","hb66","Man's highest educational level"
"295","hb67","Man's highest year of education"
"296","hb68","Man's highest educational level (questionnaire configuration)"
"297","hb69","NA - HIV weight (6 decimals)"
"298","hb70","NA - Interviewer that took blood for HIV testing"
"299","sh230","Index to household schedule"
"300","sh231","Sex of household member"
"301","sh232","Pregnancy status"
"302","sh234","Age of respondent"
"303","sh234c","Calculated age of respondent"
"304","sh235","Marital Status"
"305","sh237","Highest level of education"
"306","sh238","Currently working"
"307","sh239","Occupation type"
"308","sh241","Consent for blood pressure measurement"
"309","sh242a","Eaten anything"
"310","sh242b","Had caffeinated drink"
"311","sh242c","Smoked"
"312","sh243","Arm circumference"
"313","sh244","Arm Circumference measurement for blood pressure"
"314","sh245","Time for first blood pressure test"
"315","sh246s","Systolic blood pressure measurement"
"316","sh246d","Diastolic blood pressure measurement"
"317","sh248","Blood pressure ever checked"
"318","sh249","Told by a doctor to have high blood pressure"
"319","sh250","Taking prescribed medicine to lower blood pressure"
"320","sh253","Time for second blood pressure test"
"321","sh254","Consent for second blood pressure test"
"322","sh255s","Systolic blood pressure"
"323","sh255d","Diastolic blood pressure"
"324","sh257","Heard of illness diabetes"
"325","sh258","Ever told by a doctor/nurse to have diabetes"
"326","sh259","Taking medication for the diabetes"
"327","sh260","Method of taking the medication"
"328","sh262","Time for third blood pressure test"
"329","sh263","Consent for third blood pressure test"
"330","sh264s","Systolic blood pressure"
"331","sh264d","Diastolic blood pressure"
"332","fsysto","Valid Systolic blood presure"
"333","fdysto","Valid Dystolic blood pressure"
"334","sh271","Weight in kilograms"
"335","sh273","Height in centimeters"
"336","sh276","Consent for blood sugar testing"
"337","shwh","Result of measurement height-weight"
"338","sh1d","First appointment day"
"339","sh1mo","First appointment month"
"340","sh1y","First appointment year"
"341","sh1h","First appointment hour"
"342","sh1m","First appointment minutes"
"343","sh1x","First appointment completed"
"344","sh2d","Second appointment day"
"345","sh2mo","Second appointment month"
"346","sh2y","Second appointment year"
"347","sh2h","Second appointment hour"
"348","sh2m","Second appointment minutes"
"349","sh2x","Second appointment completed"
"350","sh3d","Third appointment day"
"351","sh3mo","Third appointment month"
"352","sh3y","Third appointment year"
"353","sh3h","Third appointment hour"
"354","sh3m","Third appointment minutes"
"355","sh3x","Third appointment completed"
"356","sh279","Consent for blood sugar testing"
"357","sh280","Time respondent ate something"
"358","sh281","Time respondent drank something"
"359","sh283d","Date for glucose testing Day"
"360","sh283m","Date for glucose testing Month"
"361","sh283y","Date for glucose testing Year"
"362","sh283t","Time for glucose testing"
"363","sh284","Glucose testing (mg/dl)"
"364","sh284a","Plasma blood glucose (mmol/L)"
"365","sh284g","Blood glucose (mmol/dl)"
"366","sh284b","Plasma blood glucose (mg/dl)"
"367","shpc1","Height/Age Percentile"
"368","shsd1","Height/Age Standard deviations"
"369","shrm1","Height/Age Percent reference median"
"370","shrm3","Weight/Height Percent reference median (DHS)"
"371","shrm4","Weight/Height Percent reference median (Fog)"
"372","shrm5","Weight/Height Percent reference median (WHO)"
"373","shsd3","Weight/Height Standard deviations (DHS)"
"374","shbm","Body mass index for respondent"
"375","shri","Rohrer's index for respondent"
"376","shcmc","CMC of birth of member"
"377","shflg","Date flag for member's date of birth"
"378","shsmk","NA - Respondent smoking practices"
"379","shresi","Result of individual interview"
"380","shed1","Member's highest educational level"
"381","shed2","Member's highest year of education"
"382","shed3","Highest educational level (CS for preliminary & final report)"
